Subawardee UEI,Capability Domain (D),Capability Domain Basis,Capability Domain URLs,Primary Output (P),Primary Output Basis,Primary Output URLs
GXPHJRVG9MR7,D3,Marine load centers and switchboards distribute and protect ship-service electrical power.,https://www.leonardodrs.com/what-we-do/products-and-services/ship-power-and-propulsion/; https://usa.leonardo.com/en/press-release-detail/-/detail/leonardo-drs-delivers-advanced-electric-propulsion-equipment-for-lead-columbia-class-submarine,P3,Marine load centers and switchboards are bounded functional electrical-distribution equipment.,"https://www.leonardodrs.com/what-we-do/products-and-services/marine-switchboards-and-loadcenters/
https://www.leonardodrs.com/who-we-are/our-segments/naval-power-systems/
https://www.highergov.com/awardee/drs-naval-power-systems-inc-10114216/"
GZ57A195G7K6,D7,Electrical-resistance temperature probe assemblies are component-level instrumentation hardware.,https://www.waukbearing.com/en/industries/marine.html; https://www.waukbearing.com/en.html,P3,Temperature probe assemblies are functional sensing units delivered for connection into ship systems.,"https://www.waukbearing.com/en/industries/marine.html
https://aerobasegroup.com/cage-code/07332/fsc/2825/"
HA3UFSU8FN75,D6,Optical/periscope and Universal Modular Mast hardware are system-level imaging and sensing equipment.,https://www.l3harris.com/all-capabilities/optronic-imaging-surface-ship-and-submarine-imaging-and-communications; https://www.afcea.org/signal-media/l-3-keo-produce-submarine-sensor-mast,P3,Optical/periscope and modular-mast hardware are functional sensing/observation equipment.,"https://seapowermagazine.org/us-navy-exercises-option-for-l3harris-submarine-imaging-masts/
https://www.l3harris.com/newsroom/editorial/2026/05/l3harris-provides-key-technologies-newly-commissioned-navy-submarines"
HDM5WRBME2K7,D0,The exact entity has no credible evidence of a Virginia-class shipbuilding role.,https://www.northropgrumman.com/what-we-do/sea; https://www.highergov.com/awardee/northrop-grumman-systems-corporation-10038778/,P0,No credible Virginia-class construction role is evidenced for this exact propulsion-products entity.,"No defensible public row-specific Virginia-class construction URL identified; general company source:
https://www.northropgrumman.com/"
HMBSX7Z72UK4,D9,"Molded elastomeric acoustic baffles, hull treatments, and damping parts are signature-control materials.",https://www.globecomposite.com/; https://investor.escotechnologies.com/news-releases/news-release-details/esco-announces-acquisition-westland-technologies-inc,P2,"Acoustic baffles, hull treatments, and vibration/signature components are fit-ready materials/components.","https://westland.globecomposite.com/
https://westland.globecomposite.com/capabilities
https://www.globecomposite.com/defense"
HUDHMPV9B6M9,D0,"Specialized electronic, electromechanical, and control assemblies are too broad without an identified function.",https://www.northropgrumman.com/careers/northrop-grumman-in-sykesville-maryland; https://www.highergov.com/awardee/northrop-grumman-systems-corporation-10110249/,P0,No platform-specific Virginia-class construction component is defensibly identified for this UEI.,"No defensible public row-specific Virginia-class construction URL identified; general company source:
https://www.northropgrumman.com/what-we-do/sea"
J3AFGKXWYK73,D5,YORK-branded naval HVAC and refrigeration equipment conditions the shipboard environment.,https://www.johnsoncontrols.com/marine-and-navy/hvac-solutions; https://www.johnsoncontrols.com/marine-and-navy/hvac-solutions/navy-and-non-combat-solutions,P3,YORK-branded HVAC/R equipment is functional environmental-control machinery.,"https://www.johnsoncontrols.com/industries/marine-and-navy
https://www.johnsoncontrols.com/marine-and-navy/hvac-solutions
https://www.pct.edu/give/corporate-tomorrow-makers/johnson-controls-navy-systems"
J8PKNJEX2MS2,D8,"Heavy-lift, crane, rigging, and specialized machinery handling are the firm's technical competence.",https://www.lockwoodusa.com/,P6,"Heavy-lift transport, barge, crane, rigging, and hauling are service handoffs.",https://www.highergov.com/awardee/lockwood-brothers-inc-10403232/
JA2KCX21NL48,D4,Shaft and bulkhead seals are functional fluid-boundary and sealing equipment.,https://www.wartsila.com/marine/products/shaft-line-solutions/navyseal; https://www.wartsila.com/marine/products/shaft-line-solutions,P2,Shaft and bulkhead seals are fit-ready mechanical components; bundled oversight does not drive P6.,"https://www.wartsila.com/marine/products/shaft-line-solutions/navyseal
https://ukdefencejournal.org.uk/american-sub-shaft-seals-being-built-in-britain/
https://www.wartsila.com/marine/customer-segments/navy"
JEP5GQGFPUL9,D4,"Submarine ball, butterfly, and specialty valves are functional fluid-control equipment.",https://www.circor.com/newsroom/circor-receives-award-electric-boat-supply-block-v,P3,Ship-service and specialty submarine valves are acceptance-testable functional fluid-control units.,"https://www.circor.com/news/circor-brand-portland-valve-announces-50-year-anniversary
https://www.circor.com/newsroom/circor-receives-award-electric-boat-supply-block-v"
JFHLZNJLWAN5,D9,Complex precision machining and fabrication are the only defensible differentiating processes.,https://ir.carlyle.com/news-releases/news-release-details/carlyle-group-portfolio-company-paradigm-precision-completes; https://www.jsfirm.com/Paradigm-Precision/15926/company-view,P2,Only machined/fabricated component output is defensible; no specific functional unit is tied to the row.,"https://paradigmprecision.com/about/
https://ir.carlyle.com/news-releases/news-release-details/carlyle-group-portfolio-company-paradigm-precision-completes"
JK4WJKLD44G9,D9,Casting across multiple ship systems makes the metal-casting process the differentiating competence.,https://www.metaltek.com/; https://www.metaltek.com/market-solutions/defense/,P1,Cast metal submarine parts are foundry outputs before downstream machining/assembly.,"https://www.metaltek.com/market-solutions/defense/
https://www.metaltek.com/
https://www.highergov.com/awardee/metaltek-international-inc-10012068/"
JKPCAKFW8X93,D9,Large engineered steel casting is the firm's differentiating material and manufacturing process.,https://www.vulcanmetals.com/our-history/; https://www.castleharlan.com/news/item/87-castle-harlan-announces-closing-of-americast-purchase-of-atlas/,P1,Steel castings are foundry outputs that normally require downstream machining or integration.,https://castleharlan.com/portfolio/item/43-americast-technologies-inc
JKZNKGGWYZ87,D0,"The entity's known family spans pumps, motors, generators, and propulsion machinery, with no single function identified.",https://electro-mechanicalsystems.curtisswright.com/; https://electro-mechanicalsystems.curtisswright.com/emd/about-us,P3,"Pumps, motors, generators, and propulsion-plant machinery are functional equipment handoffs.","https://curtisswright.com/news/press-releases/news-release-details/2015/Curtiss-Wright-Awarded-480-Million-in-Contracts-For-Virginia-Class-Submarine-Program
https://curtisswright.com/organization/naval-power
https://electro-mechanicalsystems.curtisswright.com/"
JU5GNH1H5FV6,D7,"VPX computers, single-board computers, and processing modules are component-level electronic hardware.",https://curtisswright.com/news/press-releases/news-release-details/2004/Curtiss-Wright-Completes-Acquisition-of-Dy-4-Systems-Inc; https://defense-solutions.curtisswright.com/taxonomy/term/769,P3,"VPX computer/processing hardware is a bounded, acceptance-testable computing unit.","https://defense-solutions.curtisswright.com/products/computing-systems
https://curtisswright.com/news/press-releases/news-release-details/2004/Curtiss-Wright-Completes-Acquisition-of-Dy-4-Systems-Inc
https://govtribe.com/vendors/dy4-inc-dot-0y9v5"
K294P4QJHFU9,D0,Program-management and affordability consulting has no discernible technical ship-area specialty.,https://mwjones.com/industry-advisors/; https://mwjones.com/to-strengthen-the-u-s-shipbuilding-industry-invest-in-five-capabilities/,P6,"Program-management, planning, and affordability support are labor-led technical work products.","https://mwjones.com/competitive-positioning/
https://mwjones.com/industry-advisors/
https://mwjones.com/"
K3XPS1HXNBF3,D9,"Long, tight-tolerance boring and honing is a precision-machining specialization.",https://bfmachine.com/whats-new/; https://www.highergov.com/awardee/b-f-machine-co-inc-12297239/,P2,Long tight-tolerance machined submarine parts are finished components for larger assemblies.,"https://bfmachine.com/markets-served/submarines/
https://bfmachine.com/markets-served/
https://www.highergov.com/awardee/b-f-machine-co-inc-12297239/"
K574V7KEQUC8,D0,No evidence supports a distinct Virginia-class component for this aerospace operating entity.,https://aerospace.circor.com/; https://aerospace.circor.com/brands/circor-aerospace,P0,No public evidence confirms a distinct Virginia-class construction component for this entity.,"No defensible public row-specific naval/submarine URL identified; general company source:
https://aerospace.circor.com/products
https://www.circor.com/"
KDWVFE3K1TL3,D7,Circuit cards and electromechanical electronic items are component-level hardware without a defined power-system role.,https://www.moog.com/markets/defense/naval-systems.html; https://www.flotork.com/,P3,"Motors, motor controls, and actuator-related hardware are bounded functional electromechanical equipment.","https://www.moog.com/markets/naval-defense.html
https://www.moog.com/products/actuators-servoactuators/defense/rotary-actuators-for-naval-systems.html
https://www.moog.com/content/dam/moog/literature/sdg/defense/moog-undersea-mission-critical-solutions-brochure.pdf"
KENVPMBVBT39,D1,"Heavy custom fabrication, welding, and maritime construction align to hull and structural work.",https://www.rhoadsinc.com/; https://www.linkedin.com/pulse/rhoads-industries-expands-manufacturing-capabilities-63rxe,P2,The defensible output signal is heavy/custom metal fabrication rather than a service-only handoff.,"https://www.rhoadsinc.com/
https://www.linkedin.com/company/rhoads-industries"
KYURG7LRSC89,D4,Engineered centrifugal pumps and pump components move submarine cooling and seawater fluids.,https://www.warrenpumps.com/; https://www.warrenpumps.com/military.htm,P3,Engineered centrifugal pump units are bounded functional machinery.,"https://www.circor.com/news/circor-brand-warren-pumps-holds-125th-year-anniversary-event
https://www.highergov.com/awardee/circor-naval-solutions-llc-10110392/
https://www.warrenpumps.com/"
KZGEJ29ND6K3,D9,"Specialty coating additives, hardeners, silanes, and monomers are material-chemistry competence.",https://www.evonik.com/en/company/about-evonik.html; https://www.evonik.com/en/company/worldwide-locations/north-america.html,P1,Specialty coating additives/chemical inputs are consumed or processed downstream.,"https://www.evonik.com/en/company/businesslines/ca.html
https://www.evonik.com/en/markets/market_1345322.html
https://publications.evonik.com/en/media/press-releases/corporate/evonik-acquires-specialty-and-coating-additives-business-of-air-products-101279.html"
L4ZMKLM4MPL3,D4,Precision motion-control and actuation systems are defined by actuator function.,https://www.moog.com/markets/defense/naval-systems.html; https://www.moog.com/news/corporate-press-releases/2014/moog-awarded-contract-for-mission-critical-actuators-for-us-navy-virginia-class-nuclear-submarines.html,P0,No separate Virginia-class component is identified for this headquarters/controls UEI.,"No defensible public row-specific Virginia-class construction URL identified; general company source:
https://www.moog.com/markets/naval-defense.html"
LB1XJ5UY5961,D4,Rotary and screw pump units are shipboard fluid-moving equipment.,https://www.circor.com/; https://www.circorpt.com/,P3,Rotary/screw pump units are bounded functional machinery; pump components do not make a P4 system.,"https://www.circor.com/news/circor-brand-warren-pumps-holds-125th-year-anniversary-event
https://www.circor.com/
https://www.circorpt.com/"
LCV2N9FVV739,D2,"[MECE 2026-06-20: D2/D3 dual-domain crack resolved by dollar-dominant ship function -> D2, was D0] Known output spans main-propulsion machinery (D2) and ship-service turbine-generation (D3), with no line-item discriminator.",https://www.northropgrumman.com/careers/northrop-grumman-in-sunnyvale-california; https://www.globenewswire.com/news-release/2006/08/23/347450/189/en/northrop-grumman-marine-systems-celebrates-100-years-in-operation-in-sunnyvale-california.html,P3,Turbine-generator equipment is a bounded functional machinery handoff once connected/installed.,"https://sam.gov/opp/63d0f9fc23834fcfa4e665783ef40c2a/view
https://www.northropgrumman.com/what-we-do/sea"
MC77SUMRLXY5,D4,Installed marine valves are functional fluid-control equipment.,https://www.milwaukeevalve.com/; https://www.milwaukeevalve.com/product-category/marine-valves/navy-mil-standard-valves/,P3,Marine valves are acceptance-testable functional fluid-control units.,"https://www.milwaukeevalve.com/product-category/marine-valves/
https://www.milwaukeevalve.com/wp-content/uploads/04-10-24-celebrating-the-silent-service.pdf
https://www.milwaukeevalve.com/wp-content/uploads/04-12-23-celebrating-national-submarine-day.pdf"
MF1LU8RPCMB8,D2,"[MECE 2026-06-20: D9->D2 firm-level reclassification, ship application determinable] Precision fabrication, welding, and machining supply processed propulsor material rather than a complete propulsor.",https://www.ranor.com/about%20ranor; https://www.ranor.com/defense,P2,"Precision-fabricated propulsor material is a fabricated component/subassembly, not a complete propulsor.","https://www.baesystems.com/en/product/submarine-products-and-technology
https://www.highergov.com/contract/N0002421C4106/"
MMCKJNNMSG23,D9,"Precision machining, welding, and fabrication across varied submarine parts is the differentiating process.",https://govtribe.com/vendors/advance-mfg-dot-co-dot-inc-dot-29293; https://www.highergov.com/subcontract/N0002417C2100-1000047983/,P2,"Machined housings, manifolds, and similar submarine hardware are fit-ready components.","https://www.advancemfg.com/
https://govtribe.com/vendors/advance-mfg-dot-co-dot-inc-dot-29293"
MU3CM1145E44,D6,AN/BYG-1 combat control and weapon-launch capabilities are system-level combat systems.,https://gdmissionsystems.com/sea/progeny-systems; https://gdmissionsystems.com/submarine-systems/combat-systems,P4,"AN/BYG-1 combat-control capabilities combine hardware, software, and integration as a configured system.","https://gdmissionsystems.com/submarine-systems/combat-systems/an-byg-1
https://gdmissionsystems.com/submarine-systems/combat-systems
https://gdmissionsystems.com/sea/progeny-systems"
MWAKL633WET8,D0,"Known output spans steam turbines, turbine-generators, and high-pressure compressors, with no unit identified.",https://electro-mechanicalsystems.curtisswright.com/sas/about-us; https://electro-mechanicalsystems.curtisswright.com/sas/markets-and-products/Naval-Shipboard-Air-Compressors,P3,"Steam turbines, turbine-generator equipment, and high-pressure compressors are functional machinery.","https://curtisswright.com/news/press-releases/news-release-details/2015/Curtiss-Wright-Awarded-480-Million-in-Contracts-For-Virginia-Class-Submarine-Program
https://curtisswright.com/organization/naval-power
https://electro-mechanicalsystems.curtisswright.com/"
N1PJDANWUJ61,D2,"[MECE 2026-06-20: D9->D2 firm-level reclassification, ship application determinable] Open-die and rolled-ring forging is the firm's differentiating material and precision-forming process.",https://www.scotforge.com/market-expertise/shipbuilding; https://www.scotforge.com/market-expertise1/marine-propulsion,P1,"Open-die forgings, rolled rings, blanks, and forged stock require downstream machining/finishing.","https://www.scotforge.com/market-expertise/defense
https://www.scotforge.com/nuclear-energy
https://www.scotforge.com/"
N5BYYW3MMFP7,D9,Elastomeric isolation mounts and acoustic-damping materials are specialty vibration/signature treatments.,https://hutchinsonai.com/defense-applications-navy/; https://hutchinsonai.com/navy-vibration-mounts-for-ships/,P2,Shock/vibration mounts and acoustic-damping materials are fit-ready components/material articles.,"https://hutchinsonai.com/navy-vibration-mounts-for-ships/
https://aerospacedefense.hutchinson.com/en/solutions/anti-shock-and-vibration-mounts
https://hutchinsonai.com/the-instrumented-shock-mount-a-hutchinson-success-story/"
N5KMLMXEPFM5,D7,Salinity sensors are component-level shipboard instrumentation.,https://www.parker.com/us/en/additional-information/parker-defense/maritime.html,P3,Salinity sensors are acceptance-testable measurement units delivered for shipboard connection.,"https://www.highergov.com/contract-opportunity/yjn-virginia-class-submarine-salinity-sensor-spe4a726r0423-p-cdd91/
https://govtribe.com/opportunity/federal-contract-opportunity/yjn-virginia-class-submarine-salinity-sensor-spe4a726r0423"
N79NY6FRL2F3,D4,Level I pipe and main-seawater-system fittings are functional fluid-system components.,https://customalloycorp.com/; https://customalloycorp.com/about-custom-alloy/,P2,"Level I fittings, forgings, and pipe are fit-ready fluid-system components.","https://customalloycorp.com/about-custom-alloy/
https://customalloycorp.com/
https://www.prnewswire.com/news-releases/trident-maritime-systems-acquires-assets-of-custom-alloy-corporation-301855869.html"
NB21QESAKUM9,D6,"Undersea sensors, acoustic systems, and submarine communications/mast electronics are mission systems.",https://navysbir.com/success/docs/Chesapeake_Sciences20.pdf; https://www.l3harris.com/newsroom/editorial/2026/05/l3harris-provides-key-technologies-newly-commissioned-navy-submarines,P3,"Undersea sensor, communications, and mast electronics are functional equipment; no configured shipset is shown.","https://www.l3harris.com/all-capabilities/undersea-warfare
https://www.l3harris.com/newsroom/editorial/2026/05/l3harris-provides-key-technologies-newly-commissioned-navy-submarines
https://www.navysbir.com/success/docs/L3_NAVSEA.pdf"
NEGFNA8YS723,D9,"Cross-system precision-machined, welded, and electromechanical components make manufacturing process the differentiator.",https://granitestatemfg.com/granite-state-manufacturing-secures-25-million-in-new-us-navy-contracts/; https://granitestatemfg.com/,P3,Cable-handling and electromechanical submarine products are bounded functional equipment.,"https://granitestatemfg.com/granite-state-manufacturing-secures-25-million-in-new-us-navy-contracts/
https://granitestatemfg.com/cnc-machinists-to-help-build-us-navy-submarines-are-in-high-demand/
https://granitestatemfg.com/"
NRCCMBKQ6FD7,D6,"Undersea-warfare systems engineering, integration, and test support is a mission-system competence.",https://www.leidos.com/markets/maritime; https://www.leidos.com/insights/us-navy-selects-leidos-undersea-warfare-systems-contract,P6,"Undersea systems engineering, integration, and test support are technical work products.","https://www.leidos.com/insights/us-navy-selects-leidos-undersea-warfare-systems-contract
https://www.leidos.com/markets/maritime"
NTREK31GP8N3,D7,"Fiber-optic and electrical cable assemblies, harnesses, and interconnects are D7 hardware.",https://ksaria.com/2020/06/the-use-of-fiber-optic-networks-on-navy-ships/; https://ksaria.com/training/,P2,Fiber-optic/electrical cable assemblies and harnesses are fit-ready interconnect components.,"https://ksaria.com/fiber-optic-cable-assemblies/
https://ksaria.com/2020/06/the-use-of-fiber-optic-networks-on-navy-ships/
https://ksaria.com/home-2/"
NVPEBL51CSF8,D4,"SUBSAFE fittings, valves, and flanges are complete functional fluid-system components.",https://guilldefense.com/about/company-profile/; https://guill.com/about/company-profile/,P2,"Precision fittings, flanges, and machine components are fit-ready parts; valve mentions are not the representative output.","https://guilldefense.com/about/company-profile/
https://www.highergov.com/awardee/guill-tool-engineering-co-inc-10028330/
https://guill.com/news/guill-tool-engineering-receives-as91002016-aerospace-iso-90012015-certificate-registration/"
