claim_id,claim_label,value,unit,source_id,source_title,source_section,source_url,source_date,quoted_text,deck_relevance
12,Va production target after AUKUS,2.33,boats per year,CRS-RL32418,"Navy Virginia-Class Submarine Program and AUKUS Submarine (Pillar 1) Project",Submarine Construction Industrial Base / Overview,https://www.congress.gov/crs-product/RL32418,2026-01-26,"increasing the Virginia-class production rate to 2.0 boats per year, and subsequently to 2.33 boats per year, the rate the Navy states will be needed to not only execute the two-per-year procurement rate, but also build replacement SSNs for the three to five Virginia-class boats that are to be sold to Australia.","AUKUS-implied Va rate ramp."
13,Col 12-ship program total cost,126400,USD millions,CRS-R41129,"Navy Columbia (SSBN-826) Class Ballistic Missile Submarine Program: Background and Issues for Congress (R. O'Rourke)",Program Cost and Funding,https://www.congress.gov/crs-product/R41129,2025-12-04,"The Navy's FY2025 budget submission estimates the total procurement cost of the 12-ship class at $126.4 billion in then-year dollars, an increase of 15.2% over the figure in the FY2021 budget submission of $109.8 billion.","Col program-cost anchor for the funnel."
14,Col 12-ship total per CBO,~146,USD billions (~16% > Navy),CRS-R41129,"Navy Columbia (SSBN-826) Class Ballistic Missile Submarine Program",Program Cost and Funding,https://www.congress.gov/crs-product/R41129,2025-12-04,"CBO's estimate for a program of 12 ships is 16 percent higher than the Navy's.","CBO independent cost growth view."
15,Col 1st boat (SSBN-826) cost,16121,USD millions,CRS-R41129,"Navy Columbia (SSBN-826) Class Ballistic Missile Submarine Program",Table 1 / Program Cost and Funding,https://www.congress.gov/crs-product/R41129,2025-12-04,"First boat (SSBN-826): $16,121.3 million.","Cross-validates our funnel value for Col FY21 Total Ship Estimate ($16,121M)."
16,Col 2nd boat (SSBN-827) cost,10688,USD millions,CRS-R41129,"Navy Columbia (SSBN-826) Class Ballistic Missile Submarine Program",Table 1,https://www.congress.gov/crs-product/R41129,2025-12-04,"Second boat (SSBN-827): $10,688.5 million.","Cross-validates Col FY24 Total Ship Estimate ($10,688.8M)."
17,Col 3rd boat (SSBN-828) cost,10543,USD millions,CRS-R41129,"Navy Columbia (SSBN-826) Class Ballistic Missile Submarine Program",Table 1,https://www.congress.gov/crs-product/R41129,2025-12-04,"Third boat (SSBN-828): $10,543.7 million.","Cross-validates Col FY26 procurement (P-1) total."
18,Col 1st boat delay,17,months,CRS-R41129,"Navy Columbia (SSBN-826) Class Ballistic Missile Submarine Program",Procurement Schedule,https://www.congress.gov/crs-product/R41129,2025-12-04,"The Navy's FY2026 budget submission updated the estimated delay in the delivery of the first Columbia-class boat to 17 months.","Schedule risk quote — supports 'supply side not steady-state' narrative."
19,Col 1st boat build duration actual,96,months,CRS-R41129,"Navy Columbia (SSBN-826) Class Ballistic Missile Submarine Program",Navy Perspective,https://www.congress.gov/crs-product/R41129,2025-12-04,"currently tracking to a 96-month build instead of the 84-month contract timeline.","Direct quantification of build slippage."
20,Specific delay attribution NG turbine generator,N/A,qualitative,CRS-R41129,"Navy Columbia (SSBN-826) Class Ballistic Missile Submarine Program",Procurement Schedule,https://www.congress.gov/crs-product/R41129,2025-12-04,"One of the most significant challenges...is actually the late delivery of the turbine generator...by subcontractor Northrop Grumman.","Concrete supplier-specific risk; ties to vendor analysis."
21,Trade workers <5 years experience,57,percent,GAO-25-106286,"Shipbuilding and Repair: Navy Needs a Strategic Approach for Private Sector Industrial Base Investments",Shipbuilding Workforce Limitations,https://www.gao.gov/products/gao-25-106286,2025-02-27,"A shipbuilder we spoke with noted that they already have a high percentage of trade workers with fewer than 5 years of experience—at 57 percent.","Workforce slide supporting capacity-constraint narrative."
22,BlueForge Alliance role,N/A,qualitative,GAO-25-106286,"Shipbuilding and Repair: Navy Needs a Strategic Approach for Private Sector Industrial Base Investments",Navy direct investment / Return on investment,https://www.gao.gov/products/gao-25-106286,2025-02-27,"BlueForge Alliance, a nonprofit integrator, has supported the use of submarine supplier development funding for the shipbuilders.","Primary source for BlueForge categorization (consortium pass-through)."
23,Maritime Industrial Base Program Office established,N/A,event,GAO-25-106286,"Shipbuilding and Repair: Navy Needs a Strategic Approach for Private Sector Industrial Base Investments",Visibility across investments,https://www.gao.gov/products/gao-25-106286,2025-02-27,"The Navy released a memorandum in June 2024...directed the establishment of a Maritime Industrial Base Program Office...began operating in September 2024.","Concrete event marker for MIB era institutional framing."
24,Va Block VI LLTM contract place-of-performance,30,percent at Sunnyvale CA,Naval-Technology-2024,"GDEB awarded $2.3bn contract modification for Virginia-class submarines",,https://www.naval-technology.com/news/gdeb-virginia-class-submarines-contract/,2024,"The bulk of the work will take place in Sunnyvale, California, accounting for 30% of the effort, with other significant sites including Chesapeake in Virginia, Minneapolis in Minnesota, York in Pennsylvania and Tucson in Arizona, each contributing between 3 and 4%.","Place-of-performance data — Sunnyvale = Lockheed combat systems = GFE-adjacent. Supports geographic slide."
25,AUKUS Australian contribution to US submarine industrial base,3000,USD millions,CRS-RL32418,"Navy Virginia-Class Submarine Program and AUKUS Submarine (Pillar 1) Project",AUKUS Submarine (Pillar 1) Project / Key Elements,https://www.congress.gov/crs-product/RL32418,2026-01-26,"Australia is to invest at least $3 billion in its own industrial base to establish an Australian capacity for building and maintaining SSNs. In addition to that $3 billion…Australia is to make a $3 billion contribution to the U.S. submarine industrial base.","Foreign capital flowing into US sub IB — material for the 'why now' framing."
26,Make/buy ratio for submarine prime contract,NOT FOUND,placeholder,N/A,No primary-source statement located,N/A,N/A,N/A,"None of the GAO/CRS/CBO reports we reviewed explicitly states the make/buy ratio for the Virginia or Columbia prime contracts. Industry analyst consensus places complex-shipbuilding purchased+subbed content at 50-65 percent of contract value; our deck uses ~60 percent as a working baseline derived from this synthesis plus the supporting evidence in claims 01, 02, 07, 08, 09.","CRITICAL GAP. Document honestly in the deck appendix."
27,FY27 shipbuilding budget request,65000,USD millions,GAO-26-109068,"Navy and Coast Guard Shipbuilding: A Disciplined Strategy-Driven Approach Is Needed",Page 2,https://www.gao.gov/products/gao-26-109068,2026-04-22,"The President's Budget for fiscal year 2027—released in April 2026—requested over $65 billion in shipbuilding funding, in part to support recently announced plans for the Golden Fleet.","Latest top-line shipbuilding $ for context."
28,One Big Beautiful Bill Act shipbuilding funds,30000,USD millions,GAO-26-109068,"Navy and Coast Guard Shipbuilding: A Disciplined Strategy-Driven Approach Is Needed",Page 2,https://www.gao.gov/products/gao-26-109068,2026-04-22,"The Navy and the Coast Guard collectively received over $30 billion to help procure ships under Public Law 119-21, commonly known as the One Big Beautiful Bill Act.","Reconciliation-bill funding context."
29,America's Maritime Action Plan,N/A,event,GAO-26-109068,"Navy and Coast Guard Shipbuilding: A Disciplined Strategy-Driven Approach Is Needed",Page 2,https://www.gao.gov/products/gao-26-109068,2026-04-22,"America's Maritime Action Plan by the White House in February 2026. This plan sets out the common challenges faced by the maritime industrial base across government and commercial shipbuilding.","Recent policy event — provides 'why now' anchor for the deck."
30,Ohio class begins retiring,2027,year,GAO-24-107732,"Columbia Class Submarine: Overcoming Persistent Challenges Requires Yet Undemonstrated Performance and Better-Informed Supplier Investments",Letter,https://www.gao.gov/products/gao-24-107732,2024-09-30,"As Ohio class submarines begin to retire in 2027, the lead Columbia class submarine must be ready for its first patrol in fiscal year 2031 to avoid a gap in deterrence requirements.","Strategic forcing function — explains 'why is the schedule pressure so intense.'"
31,OBBBA second Virginia-class submarine (FY2026),4600,USD millions,OBBBA-MFAP-20002,"FY 2026 Mandatory Funding Allocation Plan (One Big Beautiful Bill Act)",Section 20002: Shipbuilding / item 16,docs/obbba_funding_allocation_narrative_20260218.txt,2026-02-18,"Funds the procurement of one Virginia Class submarine in FY 2026. Funds are expected to award in FY 2026, along with the funds for the one submarine requested in the FY 2026 discretionary budget request.","Direct TAM overlay source; see OBBBA Mandatory tab."
32,Strategic outsourcing required for concurrent CLB + VCS production,25,USD millions,PB2027-SCN-P10-CLB,"PB 2027 Navy SCN Justification Book, COLUMBIA Class P-10 (Budget Funding Justification)",Maritime Industrial Base / Strategic Outsourcing,budget_books/SCN_Book_FY27.txt,2026-04,Shipbuilders do not have sufficient capacity to accommodate CLB and VIRGINIA Class (VCS) concurrent production without strategically outsourcing workload to qualified suppliers. MIB investments will support continued development of outsourcing partners to rapidly achieve schedule and quality proficiency.,Substantiates the outyear penetration floor on the Outsourced BC Annual TAM slide - budgeted strategic outsourcing implies at least current penetration.
33,Virginia Block V construction master announced POP outside the prime team,34,percent,DOD-CONTRACTS-20191202,"DoD Contracts for Dec. 2, 2019 (article 2030017)",NAVY / N00024-17-C-2100 Block V multiyear award,https://www.defense.gov/News/Contracts/Contract/Article/2030017/,2019-12-02,"Work will be performed in Newport News, Virginia (25%); Quonset Point, Rhode Island (21%); Groton, Connecticut (20%); Sunnyvale, California (8%); Norfolk, Virginia (1%); Bethlehem, Pennsylvania (1%); and Annapolis, Maryland (1%), with other efforts performed at various places throughout the U.S. below one percent (22%), and other places outside of U.S. below one percent (1%).",Basis for the applied Virginia class BC coefficient (34%); funds the FY19-23 boats.
34,Columbia Build I construction option announced POP outside the prime team,22,percent,DOD-CONTRACTS-20201105,"DoD Contracts for Nov. 5, 2020 (article 2406922)",NAVY / N00024-17-C-2117 Build I construction option,https://www.defense.gov/Newsroom/Contracts/Contract/Article/2406922/,2020-11-05,"Work will be performed in Groton, Connecticut (36%); Newport News, Virginia (25%); Quonset Point, Rhode Island (17%); with other efforts performed at various sites throughout the U.S. (each less than 1%) (22%).",Basis for the applied Columbia class BC coefficient (22%); SSBN 826 + 827.
