fy,quarter,source,speaker,topic,score,quote_length,quote
2025,3,fool,Tom Stiehle,Backlog / forward visibility,17,647,"Using the 2025 free cash flow guidance midpoint, this does imply both years will generate about $600 million in free cash flow. As always, our cash flow in a particular quarter or year can be impacted by small changes in timing for large receipts and disbursements. We are also updating a number of discrete income statement guidance elements. We have made some minor revisions to our pension outlook, and you can find updated 2025 and 2026 expectations in the appendix of today's slide presentation. We are also updating the expected effective tax rate for the year to 22% given the elevated rate in the third quarter that I discussed previously."
2025,4,fool,Chris Kastner,Backlog / forward visibility,18,611,"Tom, I don't know if you have anything else. Have some comments for you, Scott, in the street there. So, know, to your point on the with the new contract starts that are coming with the awards and we book low, that's baked in already into the guidance that we provide. Right? So nothing's changed just because those awards are coming and what we gave you in 2026. And then, you know, Chris and I have said that, hey. The nine to 10% is not just aspirational. We've been there before. Wanna get there. We haven't given the street the timing of that. We've said incrementally, we would expect to improve annually."
2025,4,fool,Chris Kastner,Columbia program status,12,605,"We also delivered the bow of the first Columbia class submarine SSBN 826 District of Columbia. Our aircraft carrier programs, last year, we completed dock trials on CVN 79 Kennedy, and the team is now finishing up her first sea trial evolution, moving another step closer to preliminary acceptance and delivery. In addition, having completed deck over of both engine rooms post receipt of the remaining major engine room components, CVN 80 has now reached 50% erected in the dry dock, and CVN 81 keel units are in fabrication, and we continue to receive major material components in support of production."
2025,4,insidermonkey,Chris Kastner,Columbia program status,12,1036,"I have great confidence in Ingalls’ team to execute this program and in our ongoing efforts with our partners to successfully expand the US shipbuilding industrial base to meet the Navy’s needs. In 2025, at Newport News Shipbuilding, we delivered Virginia class submarine SSN 798 Massachusetts, launched SSN 800 Arkansas, laid the keel of SSN 804 Barb, and undocked SSN 790 New Jersey in preparation for a redelivery to the fleet. We also delivered the bow of the first Columbia class submarine SSBN 826 District of Columbia. Our aircraft carrier programs, last year, we completed dock trials on CVN 79 Kennedy, and the team is now finishing up her first sea trial evolution, moving another step closer to preliminary acceptance and delivery. In addition, having completed deck over of both engine rooms post receipt of the remaining major engine room components, CVN 80 has now reached 50% erected in the dry dock, and CVN 81 keel units are in fabrication, and we continue to receive major material components in support of production."
2022,4,yahoo_partial,Tom Stiehle,Outsourcing / Supplier capacity / MIB,32,982,"Net earnings for the year were $579 million, compared to $544 million in 2021 and diluted earnings per share were $14.44, compared to $13.50 in the previous year. Moving on to slide seven. Ingalls' 2022 revenues of $2.6 billion increased $42 million or 1.7% from 2021, driven primarily by higher revenues in the LHA and DDG programs, partially offset by lower NSC program revenues. Ingalls' 2022 operating income of $292 million and margin of 11.4%, both improved from $281 million and 11.1% last year. These results were driven primarily by favorable changes in contract estimates and price adjustment clauses, as well as higher risk retirement on the LPD program, partially offset by lower risk retirement on the DDG program compared to 2021. At Newport News, 2022 revenues of $5.9 billion increased by $189 million or 3.3% from 2021, primarily due to higher revenues in both aircraft carriers and submarines, partially offset by a lower revenue in naval nuclear support services."
2023,4,insidermonkey,Thomas Stiehle,Outsourcing / Supplier capacity / MIB,45,939,"For 2024, we expect shipbuilding operating margin to be between 7.6% and 7.8% as we continue to target incremental margin improvement. For Mission Technologies, we continue to expect approximately 5% mid- to long-term top line growth. And again, due to the 2023 outperformance driven by approximately $80 million of material timing. We expect tempered growth for FY ’24, forecasting revenue between $2.7 billion and $2.75 billion. And we expect Mission Technologies operating margins to be between 3% and 3.5% and EBITDA margins to be between 8% and 8.5%. In 2024, amortization and purchased intangible assets is expected to total approximately $109 million, of which $99 million is attributable to Mission Technologies. We expect first quarter revenues of approximately $2.2 billion for shipbuilding and $650 million for Mission Technologies, with shipbuilding operating margin near 7% and Mission Technologies operating margin near 2.5%."
2023,4,insidermonkey,Thomas Stiehle,Outsourcing / Supplier capacity / MIB,36,881,"Yes, if I could piggyback on top of that. And Miles, I think you’re looking at it the right way. If you look back on where we’ve been right in ’22, we gave back to the shareholders $249 million in dividends and repos. This year, it’s up to $275 million, which is 40% of free cash flow. We have to keep in mind for 2023, it was $480 million of debt paydown. So, we actually between the debt paydown and what we gave back to shareholders. It was better than 100% of the free cash flow of $692 million for 2023. And now for this year, as we’re saying $500 million of dividends and repos is still another $229 million. I just paid $145 million in January. There’s $84 million of on payment in May. So $229 million of debt and that concludes it, kind of going forward plus the $500 million I’m committing to again is over 100% of free cash flow going back to the shareholders this year."
2025,2,insidermonkey,Thomas E. Stiehle,Outsourcing / Supplier capacity / MIB,34,788,"Moving on to our outlook on Slide 9. We are reiterating our segment revenue and operating margin guidance for the year. We expect shipbuilding revenue between $8.9 million and $9.1 billion and margins between 5.5% and 6.5%. For Mission Technologies, we expect revenue between $2.9 billion and $3.1 billion. Operating margins between 4% and 4.5%. And EBITDA margins between 8% and 8.5%. Our 2025 guidance is predicated on achieving the operational initiatives we have laid out. As Chris noted, we are progressing on each of these items, and we expect to achieve a meaningful improvement in throughput over the course of the year. Regarding our assumption related to the award of Virginia-class Block VI and Columbia Build II submarines, we continue to expect that award to occur this year."
2025,4,fool,Tom Stiehle,Outsourcing / Supplier capacity / MIB,36,757,"At Newport News, fourth quarter 2025 revenues of $1.9 billion increased $303 million or 19% from 2024, primarily due to higher volumes in both submarines and aircraft carriers. At Mission Technologies, fourth quarter 2025 revenues of $731 million increased $18 million or 2.5% from 2024, primarily driven by higher volumes in Warfare Systems, global security, and unmanned systems. Moving to slide seven, segment operating income for the quarter was $195 million, and segment operating margin was 5.6%. This compares to $103 million and 3.4% respectively in 2024. Results at all three segments improved compared to 2024. Ingalls' fourth quarter 2025 operating income of $68 million and margin of 7.6% compared to $46 million and 6.3%, respectively, in 2024."
2025,4,insidermonkey,Tom Stiehle,Outsourcing / Supplier capacity / MIB,36,858,"At Newport News, 2025 revenues of $6.5 billion increased by $538 million or 9% from 2024, due to higher volumes in both submarines and aircraft carriers. At Mission Technologies, 2025 revenues of $3 billion increased $107 million or 3.6% from 2024, primarily driven by higher volumes in warfare systems, global security, and unmanned systems. Moving to slide nine, segment operating income for the year was $717 million, and segment operating margin was 5.7%. This compares to $573 million and 5% respectively in 2024. Ingalls’ operating income of $233 million and margin of 7.6% in 2025 compares to $211 million and 7.6% respectively in 2024. The increase in operating income was primarily driven by the higher volumes noted earlier and favorable contract adjustments in surface combatants, partially offset by lower performance in amphibious assault ships."
2024,2,insidermonkey,Chris Kastner,Performance / catch-up adjustments,9,675,"Great. So it’s a great question, Jason. So productivity is not as it was before the pandemic. There’s no getting around that. And it’s related to the experience level of the team. Now do I expect it — do I expect it to improve? Absolutely. And both teams in Ingalls and Newport News are making investments to ensure it does. And the SIB investments that you see coming out of the Navy are focused on that as well. It’s not just infrastructure. It’s targeted at the proficiency of the workforce as well. So I do expect it to improve. We’re investing against it. We’ve done it before. We’ve seen it before, and I expect it to continue to improve as we stabilize moving forward."
2023,1,insidermonkey,Tom Stiehle,Virginia program status,24,738,"Yes. So as we crossed over at the end of last year, Block V actually has more revenue than Block IV in it, although you find the programs for one better than 80% accomplished with 794 delivered, 796 to go, 798 floating off and then the successive years of the sell-off of 798, 800. So Block IV is significantly more complete with cost in the books here. Block V is still less than 30% complete right now. So there’s a mix there. I have more volume on V and I still have a large amount of that program in front of me. As we talked about, I think, keeping the pedal to the metal on the labor, training that workforce, getting serial production cadence happening, which we see that with the operating system at the — incorporated down there."
2024,2,insidermonkey,Chris Kastner,Virginia program status,32,735,"Sure. Sure. Block IV, we’re marching towards delivery on 798. We did have that minor move on the milestone, but they’re making progress on the test program now. And it’s a good team on it. It’s a good crew. It’s a good leadership. So I fully expect 798 will resolve at the beginning of next year. 800s making progress. That milestone is holding the float off the back half of this year, and then we have one more module that we have to deliver to general dynamics. And then we’re making progress on Block V and they’ll start to fill in behind Block IV in those — getting into the integrated delivery and test of the Block V Virginia class boats. Block VI, we’re in discussions with the government relative to negotiation of that block."
2025,1,insidermonkey,Chris Kastner,Virginia program status,11,741,"Yes. So that’s probably not important to how it did not end up in the final executive order. I’m sure that those are — that’s why they’re drafts. They go through review with the different elements of the government and ultimately, it wasn’t included. Do I think SAS will happen in the future? Look, SAS did a lot of really interesting things. It was very innovative. It accelerated investment into the shipyards to get at the submarine production rate. But right now, our baseline is the Block V contract, the Block VI contract and Columbia Bill 2, and we’re working with our customer to March 4 to get those under contract. Now the really good part about SAS is it identified in detail the investments we thought we needed to get this done."
2025,4,fool,Chris Kastner,Virginia program status,12,730,"Our second operational initiative in 2025 was a reduction target of $250 million, which we met by removing mostly overhead and support labor costs for improved efficiency. Lastly, we expect several shipbuilding contract awards in 2026, including Virginia class block six, Columbia bill two, CVN 75 RCOH, and CVN 82 longleaf material. Regarding capital allocation, we have historically taken a very balanced approach, leading with reinvestments into our shipyards. Stakeholders that have visited our yards have seen firsthand the tremendous amount of investment we have made over the past decade at both Ingalls and Newport News. In 2026, we will again target hundreds of millions of dollars of capital investment in the shipyards."
2026,1,insidermonkey,Kari Wilkinson,Virginia program status,17,762,"CVN-80 Enterprise is now coming together at pace and is over 50% erected in dry dock 12 and and CVN-81 units continue to move through steel fabrication and outfitting in support of the [indiscernible] later this year. In our submarine programs, we completed sea trials and redelivery of SSN 796 USS New Jersey after her post-shakedown availability. We remain laser-focused on getting the last of our Block IV boats SSN 800 Arkansas to sea and delivering later this year. As Chris mentioned, we’ve made good progress on the framework for both Virginia Class Block VI and Columbia build 2 and anticipate contract awards in the second quarter, demonstrating our continued commitment to increased submarine delivery cadence. We also continue to invest in our future."
