input_row,Vendor UEI,Vendor,normalized_vendor_or_business_unit,evidence_specificity,confidence,submarine_construction_work_description,delivery_category,delivery_at_delivery_or_integration,research_notes,source_urls
11,Y6X3BDLEPNJ6,"W INTERNATIONAL SC, LLC",W International SC / Goose Creek advanced metal-fabrication facility,Columbia-specific public evidence,High,"W International SC appears to refer to the South Carolina W International fabrication operation. Public sources describe the Goose Creek/Charleston-area facility as a producer of modules and structures for Virginia- and Columbia-class submarine construction, later acquired by HII to expand distributed shipbuilding capacity. The work is heavy metal fabrication and module/structure assembly for nuclear-submarine programs.",Modular assemblies/large fabricated structures,Completed or partially completed submarine modules and structural assemblies are delivered from the South Carolina manufacturing site to prime-yard/module-integration locations for installation into the submarine build sequence.,"The same evidence base as W International, LLC applies, with this row likely tied to the South Carolina operating entity/facility.",https://www.hii.com/news/hii-expands-shipbuilding-capacity-announcing-intent-to-acquire-south-carolina-advanced-metal-fabricator-assets-and-workforce | https://news.usni.org/2025/01/27/hii-completes-aqusition-of-w-international-assets | https://news.usni.org/2024/12/04/newport-news-shipbuilding-acquires-south-carolina-facility-from-w-international | https://www.hii.com/news/hii-increases-throughput-expands-industrial-base-through-distributed-shipbuilding | https://virginiabusiness.com/newport-news-shipbuildings-south-carolina-manufacturing-facility-is-up-and-running/
12,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,Curtiss-Wright Corporation / naval defense businesses,Columbia-specific public evidence,High,"Curtiss-Wright is a corporate-level supplier of highly engineered naval nuclear and propulsion-system components for Columbia-class submarines. Public announcements identify Columbia-class support through propulsion valves, pumps, advanced instrumentation and control systems, and separate generator contracts. Curtiss-Wright's naval defense and electro-mechanical businesses also describe long-standing US Navy nuclear-submarine products including pumps, motors, generators, propulsors, seals, and related electro-mechanical equipment.",Equipment/discrete subsystems/shipsets,"Factory-manufactured and qualified generators, valves, pumps, instrumentation, and control-system components delivered as equipment or shipset hardware for shipyard or nuclear-propulsion-system integration.","The workbook has multiple rows for the same Curtiss-Wright UEI; without line-item details, the same company-level Columbia evidence is applied to each duplicate row.",https://curtisswright.com/news/press-releases/news-release-details/2024/curtiss-wright-awarded-contracts-valued-excess-130-million-support-critical-us-naval-defense | https://curtisswright.com/markets/defense/naval-defense | https://electro-mechanicalsystems.curtisswright.com/emd/about-us | https://electro-mechanicalsystems.curtisswright.com/emd/markets-and-products | https://www.naval-technology.com/news/curtiss-wright-generators-columbia-ssbn/
13,SLD5KEGGLLZ3,"JOHNSON CONTROLS NAVY SYSTEMS, LLC",Johnson Controls Navy Systems,Submarine-general public evidence; no public Columbia deliverable found,Medium,"Johnson Controls Navy Systems supplies heating, ventilation, air-conditioning, and refrigeration systems for US Navy vessels, including submarines. Its public Navy/marine materials state that the company designs, manufactures, tests, installs, and supports naval HVAC and refrigeration equipment for platforms ranging from submarines to aircraft carriers. For submarine construction, its role is best characterized as environmental-control/HVAC-R machinery, components, and related engineering/support.",Equipment plus installation/support service,"Manufactured and tested HVAC/R equipment, machinery, skids, components, controls, or spares delivered for shipboard installation, with potential engineering, installation, and support services.",The exact Columbia-class component was not found publicly; classification is based on Johnson Controls Navy Systems' stated submarine HVAC/R role.,https://www.johnsoncontrols.com/marine-and-navy/hvac-and-refrigeration
14,TZVRTYNM3MN3,PEGASUS STEEL LLC,Pegasus Steel / KEEL Southeast,Columbia-specific public evidence,High,"Pegasus Steel is a nuclear-shipbuilding steel-fabrication supplier for complex structures and assemblies. Public acquisition and KEEL materials identify Pegasus/KEEL work on Columbia, Virginia, and Ford programs, including Columbia-class submarine superstructures and critical complex structures. Its history also references NAVSEA submarine work involving fracture-critical structures and components.",Large fabricated structures/modular assemblies,"Heavy fabricated steel structures, superstructures, and fracture-critical assemblies are delivered by truck or barge to General Dynamics Electric Boat, HII, or other integration locations for incorporation into submarine modules/hulls.","The sources explicitly describe Columbia-class superstructure work and delivery by truck/barge, making this a strong structural-assembly classification.",https://arlingtoncap.com/news/arlington-capital-partners-announces-the-acquisition-of-pegasus-steel/ | https://keelusa.com/breaking-defense-navy-contractor-keel-to-open-new-70m-facilities-for-submarine-fabrication/ | https://keelusa.com/about/history/ | https://keelusa.com/columbia-class-case-study/
15,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,Curtiss-Wright Corporation / naval defense businesses,Columbia-specific public evidence,High,"Curtiss-Wright is a corporate-level supplier of highly engineered naval nuclear and propulsion-system components for Columbia-class submarines. Public announcements identify Columbia-class support through propulsion valves, pumps, advanced instrumentation and control systems, and separate generator contracts. Curtiss-Wright's naval defense and electro-mechanical businesses also describe long-standing US Navy nuclear-submarine products including pumps, motors, generators, propulsors, seals, and related electro-mechanical equipment.",Equipment/discrete subsystems/shipsets,"Factory-manufactured and qualified generators, valves, pumps, instrumentation, and control-system components delivered as equipment or shipset hardware for shipyard or nuclear-propulsion-system integration.","The workbook has multiple rows for the same Curtiss-Wright UEI; without line-item details, the same company-level Columbia evidence is applied to each duplicate row.",https://curtisswright.com/news/press-releases/news-release-details/2024/curtiss-wright-awarded-contracts-valued-excess-130-million-support-critical-us-naval-defense | https://curtisswright.com/markets/defense/naval-defense | https://electro-mechanicalsystems.curtisswright.com/emd/about-us | https://electro-mechanicalsystems.curtisswright.com/emd/markets-and-products | https://www.naval-technology.com/news/curtiss-wright-generators-columbia-ssbn/
16,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,Curtiss-Wright Corporation / naval defense businesses,Columbia-specific public evidence,High,"Curtiss-Wright is a corporate-level supplier of highly engineered naval nuclear and propulsion-system components for Columbia-class submarines. Public announcements identify Columbia-class support through propulsion valves, pumps, advanced instrumentation and control systems, and separate generator contracts. Curtiss-Wright's naval defense and electro-mechanical businesses also describe long-standing US Navy nuclear-submarine products including pumps, motors, generators, propulsors, seals, and related electro-mechanical equipment.",Equipment/discrete subsystems/shipsets,"Factory-manufactured and qualified generators, valves, pumps, instrumentation, and control-system components delivered as equipment or shipset hardware for shipyard or nuclear-propulsion-system integration.","The workbook has multiple rows for the same Curtiss-Wright UEI; without line-item details, the same company-level Columbia evidence is applied to each duplicate row.",https://curtisswright.com/news/press-releases/news-release-details/2024/curtiss-wright-awarded-contracts-valued-excess-130-million-support-critical-us-naval-defense | https://curtisswright.com/markets/defense/naval-defense | https://electro-mechanicalsystems.curtisswright.com/emd/about-us | https://electro-mechanicalsystems.curtisswright.com/emd/markets-and-products | https://www.naval-technology.com/news/curtiss-wright-generators-columbia-ssbn/
17,RM4TFABVLPX4,"CP INDUSTRIES HOLDINGS, INC",CP Industries,Submarine/Navy-specific product evidence; no public Columbia deliverable found,High,"CP Industries manufactures high-pressure seamless steel flasks, cylinders, and pressure vessels for military, naval, and aerospace compressed-gas storage. Public materials describe CP as a key supplier of specialized high-pressure vessels to the US Navy for breathing air and shipboard uses, with products integrated into submarine systems for compressed gas storage. Recent Navy procurement data also identify CP Industries as a supplier of air flasks.",Discrete pressure-vessel equipment/components,"Finished, tested, certified high-pressure air flasks/cylinders or pressure vessels delivered for installation in submarine compressed-air, breathing-air, or shipboard gas systems.","The exact Columbia-class air-flask lot was not found publicly, but the Navy/submarine pressure-vessel role is clear.",https://cp-industries.com/products/applications/military | https://cp-industries.com/ | https://cp-industries.com/products/applications | https://www.highergov.com/contract/N0010425PBY36/ | https://cp-industries.com/about
18,LJRBXLTGXN57,"CEPEDA ASSOCIATES, INC.",Cepeda Associates,Submarine-specific public evidence; no public Columbia deliverable found,Medium-High,"Cepeda Associates manufactures, services, and upgrades US Navy submarine life-support and atmosphere-control equipment, including Level I/SUBSAFE-qualified equipment. Its public materials describe submarine systems that remove carbon dioxide, carbon monoxide, hydrogen, volatile organic compounds, and related contaminants from the submarine atmosphere. Public Navy-contract notices also identify Cepeda as the original equipment manufacturer for Virginia-class submarine scrubbers and as a repair provider for those scrubbers.",Mixed equipment and service,"For new construction, likely delivered as qualified life-support/scrubber equipment, components, and mechanical assemblies; the same supplier also renders repair, refurbishment, and upgrade services for in-service submarine equipment.",No public Columbia-specific Cepeda item was found; classification is based on Cepeda's submarine life-support/OEM scrubber role.,https://www.workwithcepeda.com/about | https://www.highergov.com/contract-opportunity/us-navy-virginia-cla-n3225324c0009-award-n3225324c0009-cepeda-associates-inc-54ef3/ | https://www.highergov.com/contract-opportunity/us-navy-virginia-class-submarine-scrubbers-repair-n32253-25-r-0003-p-12c7d/ | https://www.highergov.com/contract-opportunity/us-navy-virginia-class-submarine-scrubbers-repair-n32253-22-r-0013-p-039f7/
19,GU5YDKH7GPF1,CIRCOR NAVAL SOLUTIONS LLC,CIRCOR Naval Solutions / Portland Valve / Warren Pumps,Submarine-general and Virginia-class public evidence; no public Columbia deliverable found,Medium-High,"CIRCOR Naval Solutions supplies engineered naval valves, actuators, and pumps for submarine fluid systems. CIRCOR public materials describe Portland Valve and related valve technologies used by the US Navy for specialized control valves, motor-operated valves, MIL-spec butterfly valves and actuators, and damage-control/fluid-control systems. Public contract coverage identifies CIRCOR/Portland Valve ball-valve shipsets for Virginia-class submarines and CIRCOR/Warren pump work such as trim and drain pumps, supporting a submarine-fluid-systems role.",Discrete equipment/components,"Qualified valves, actuators, pumps, and shipset fluid-control hardware delivered as discrete equipment for installation in submarine seawater, trim, drain, damage-control, or auxiliary systems.",The public item-level evidence found was stronger for Virginia-class than Columbia; Columbia role may be analogous fluid-control content but is not identified by a public part name.,https://www.circorpt.com/technologies-valves | https://www.naval-technology.com/news/circor-contracts-ball-valves/ | https://envzone.com/award-record/40-million-contract-to-circor-naval-solutions-for-virginia-class-submarine-components/ | https://jobs.buildsubmarines.com/jobs/359756536-senior-manufacturing-engineer-at-circor
20,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.","Advance Mfg. Co., Inc.",Submarine/shipbuilder qualification evidence; no public Columbia deliverable found,Medium,"Advance Mfg. provides precision machining, welded fabrication, large fabrication, and assemblies for defense, marine, power-generation, aerospace, and other high-reliability markets. Public materials list NAVSEA welding specifications, HY-80/HY-100 and related naval materials, large DoD fabrications, and customer certifications that include Electric Boat and Newport News Shipbuilding. Its history notes machined components used on military submarine periscopes, supporting a role as a precision-machined/fabricated component supplier rather than a module prime.",Discrete machined parts and fabricated assemblies,"Build-to-print machined parts, welded fabrications, large fabricated subassemblies, and certified component assemblies delivered to the shipyard or higher-tier supplier after machining, welding, inspection, and documentation.","The exact Columbia-class item was not found publicly; classification is based on process certifications, submarine/shipbuilder customer certifications, and defense fabrication capabilities.",https://www.advancemfg.com/ | https://www.advancemfg.com/pages/about/about.html | https://m.advancemfg.com/capabilities/ | https://m.advancemfg.com/capabilities/group4/welding/ | https://m.advancemfg.com/capabilities/group4/large-fabrication/ | https://m.advancemfg.com/our-history/ | https://m.advancemfg.com/equipment-list/cnc-milling-2-2-2-2-2-3/
21,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,ESCO Technologies and naval-defense subsidiaries/portfolio companies,Columbia/Virginia public evidence via subsidiary/portfolio sources; parent-row item unresolved,Medium-High,"ESCO Technologies is a parent company for engineered naval-defense products; the exact ESCO business unit behind the workbook row is not public. Relevant ESCO/public portfolio evidence points to submarine signature-management, power-management, elastomeric, and composite components. ESCO announced acquisition of SM&P, a mission-critical signature and power management supplier to US and allied naval markets. Other public portfolio sources describe elastomeric and composite parts used on every US Navy submarine and 140-plus parts on Virginia and Columbia submarines, such as special hull treatment-related parts, large-aperture bow acoustic panels, missile hatch gaskets, transducer covers, propulsor fairings, and propeller-shaft snubbers.",Mixed discrete components/equipment,"Likely delivered as composite/elastomeric acoustic and sealing components, panels, fairings, gaskets, vibration-damping products, and/or signature/power-management equipment through the relevant ESCO business unit or subsidiary.","Because the row is the ESCO parent rather than a named subsidiary, the specific delivered item is mixed/unresolved; sources show plausible Columbia-related content through ESCO's naval-defense portfolio.",https://www.escotechnologies.com/ | https://www.escotechnologies.com/esco-acquires-smp/ | https://westland.globecomposite.com/defense | https://westland.globecomposite.com/capabilities | https://hl.com/about-us/transactions/houlihan-lokey-advises-globe-composite-solutions/ | https://www.globecomposite.com/defense
22,UCWYBGRA11H1,"AUSTAL USA, LLC",Austal USA submarine module manufacturing,Columbia-specific public evidence,High,"Austal USA fabricates and outfits critical module components for the US submarine industrial base. Austal describes a strategic partnership with General Dynamics Electric Boat for fabrication and outfitting of critical components for Virginia- and Columbia-class submarines. Public announcements identify Austal USA's first Columbia-class order as the Command and Control Systems Module for SSBN 828, and also describe work on CCSM and Electronic Deck Module content for submarine programs.",Outfitted submarine modules/modular assemblies,"Fabricated and outfitted module sections or critical module components, such as the Command and Control Systems Module, are produced in Austal's submarine-module facility and delivered to Electric Boat or another integration site.","Strong Columbia-specific evidence, including a named module and ship number.",https://www.austalusa.com/submarines | https://www.navalnews.com/naval-news/2023/10/austal-usa-receives-first-order-for-columbia-class-submarine-module-construction/ | https://www.austal.com/media-releases/austal-usa-awarded-us450-million-contract-expand-submarine-module-production | https://www.austalusa.com/index.php/who-we-are | https://www.austalusa.com/press-releases/austal-usa-leads-effort-increase-submarine-industrial-base-capabilities-under-aukus
23,KTSAL8YX2QQ5,AMERICAN STEEL AND ALUMINUM LLC,American Steel and Aluminum,Submarine-industrial-base/Electric Boat public evidence; no named Columbia item found,Medium-High,"American Steel and Aluminum is a metal distributor, processor, and contract manufacturer serving defense and shipbuilding customers, including the submarine industrial base. Its public materials describe steel and aluminum sheet, plate, tube, pipe, bar, extrusions, structural shapes, cutting, forming, grinding, deburring, bending, machining, kitting, welding, and supply-chain control. Maine business reporting specifically says its Auburn, Massachusetts operation services General Dynamics Electric Boat's submarine industrial base and that the company cuts and forms plates and other parts for submarines.","Mixed raw, processed, and mid-finished metal products","Delivered as metal stock, cut plate, formed plate, machined/processed parts, kits, or lightly fabricated components that are later welded, assembled, or installed by the shipyard or a higher-tier module/component supplier.",This supplier is closer to processed material and contract manufacturing than finished submarine equipment.,https://americansteelandaluminum.com/ | https://americansteelandaluminum.com/about-us/ | https://americansteelandaluminum.com/processing-capabilities/ | https://americansteelandaluminum.com/product-line/ | https://americansteelandaluminum.com/info-quality/ | https://www.mainebiz.biz/article/maine-based-steel-processor-buys-425m-building-in-saco-to-expand-capacity
24,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,Curtiss-Wright Corporation / naval defense businesses,Columbia-specific public evidence,High,"Curtiss-Wright is a corporate-level supplier of highly engineered naval nuclear and propulsion-system components for Columbia-class submarines. Public announcements identify Columbia-class support through propulsion valves, pumps, advanced instrumentation and control systems, and separate generator contracts. Curtiss-Wright's naval defense and electro-mechanical businesses also describe long-standing US Navy nuclear-submarine products including pumps, motors, generators, propulsors, seals, and related electro-mechanical equipment.",Equipment/discrete subsystems/shipsets,"Factory-manufactured and qualified generators, valves, pumps, instrumentation, and control-system components delivered as equipment or shipset hardware for shipyard or nuclear-propulsion-system integration.","The workbook has multiple rows for the same Curtiss-Wright UEI; without line-item details, the same company-level Columbia evidence is applied to each duplicate row.",https://curtisswright.com/news/press-releases/news-release-details/2024/curtiss-wright-awarded-contracts-valued-excess-130-million-support-critical-us-naval-defense | https://curtisswright.com/markets/defense/naval-defense | https://electro-mechanicalsystems.curtisswright.com/emd/about-us | https://electro-mechanicalsystems.curtisswright.com/emd/markets-and-products | https://www.naval-technology.com/news/curtiss-wright-generators-columbia-ssbn/
25,WN1PJNXJJ831,"TAYLOR FORGE ENGINEERED SYSTEMS, INC.",Taylor Forge Engineered Systems,Navy nuclear-propulsion capability evidence; no public Columbia deliverable found,Medium,"Taylor Forge Engineered Systems manufactures heavy engineered process equipment and has a documented history in the Navy nuclear propulsion program. The company states that it acquired Navy nuclear assets from Crane Midwest and later Tube Turns, entering the Navy nuclear propulsion program in 1990. Its broader product set includes engineered pressure vessels, separators, headers, and specialized fabricated equipment, suggesting a role supplying heavy pressure-boundary or process-system components rather than ordinary raw material.",Discrete engineered/fabricated metal components or assemblies,"Engineered, fabricated, pressure-boundary or process-equipment components such as vessels, headers, fittings, or related assemblies delivered after fabrication, inspection, and documentation for nuclear/submarine system integration.",The public sources establish Navy nuclear-propulsion participation but do not identify a Columbia-class part or shipset item.,https://www.tfes.com/ | https://www.tfes.com/vision/our-history/ | https://www.tfes.com/resources/brochures-information/
