quote_id,date,speaker,role,company_or_org,topic,quote_or_statement,source_url_or_doc,context,deck_relevance
EXEC-11,2026-01-28,Phebe Novakovic,CEO,General Dynamics (parent of EB),Supply chain is the gating item,"The supply chain remains the gating item, and we have seen significant improvement in some areas, but we still have some suppliers and parts of the supply chain that are at risk.",GD FY2025 Q4 earnings call (Motley Fool transcript),Discussion of Marine Systems / EB submarine production,"GD CEO: supply chain bottleneck is THE binding constraint on submarine output. (Different stance from HII — GD invests in own yards rather than outsourcing more.)"
EXEC-12,2026-01-28,Phebe Novakovic,CEO,General Dynamics,Sole-source bottleneck,"Sole source suppliers where they are bottlenecks (identified as key constraint).",GD FY2025 Q4 earnings call (Motley Fool),Discussion of supply chain constraints,"Validates the 70% sole-source figure from CRS reports — GD CEO confirms it's operationally binding."
EXEC-13,2026-01-28,Phebe Novakovic,CEO,General Dynamics,Capital allocation tilt to EB,"Half at least of the CapEx for this coming year is at Electric Boat.",GD FY2025 Q4 earnings call,Discussion of 79% CapEx increase to >$900M,"GD heavily investing in own yards (counter to HII's outsourcing strategy) — split-strategy framing for the deck."
EXEC-14,2026-04-29,Danny Deep,President/COO,General Dynamics,Single-source supplier bottlenecks,"We still see some areas in the supply chain where we need to get the cadence up, and those problems tend to be where we have complex components or complex systems where there are just single sources of supply.",GD FY2026 Q1 earnings call (Motley Fool / Globe and Mail),Marine Group supply chain discussion,"GD COO confirms single-source supplier issue is the persistent cadence-limiting factor. Same conclusion as CRS RL32418's 70% sole-source statement."
EXEC-15,2026-04-29,Danny Deep,President/COO,General Dynamics,Columbia progress,"At Electric Boat on the Columbia program, we have seen a 29% increase in the number of hours earned as compared to first quarter 2025.",GD FY2026 Q1 earnings call,EB operational metrics,Concrete YoY productivity figure for Columbia construction at EB.
EXEC-16,2026-04-29,Danny Deep,President/COO,General Dynamics,Sequence critical material throughput,"For sequence critical material, we have seen a 52% increase in the number of items received as compared to this time period last year.",GD FY2026 Q1 earnings call,EB material flow improvement,Quantifies the material-flow improvement at EB.
EXEC-17,2025-Q3,Phebe Novakovic,CEO,General Dynamics,EB tonnage growth,"Electric Boat was up 13% in submarine tonnage produced over the prior year.",GD FY2025 Q3 earnings call (Investing.com summary),"Q3 2025 production results",Concrete throughput metric for the EB submarine programs.
EXEC-18,2026-05-12,US Navy,Official policy,Department of the Navy,"Distributed shipbuilding: 10% → 50% (5x target)","Currently only 10% of shipbuilding occurs at distributed sites. The Navy aims to increase this to 50% to enhance flexibility, reduce legacy shipyard dependency, and accelerate delivery timelines.","Navy Times reporting on US Navy FY27 Shipbuilding Plan / ""Golden Fleet"" announcement (May 12, 2026)",The Navy's official 30-year plan,"POLICY-LEVEL QUOTE: The Navy itself is officially committing to a 5x increase in distributed shipbuilding (10% → 50%). Strongest possible primary-source for ""outsourcing IS the strategy.""."
EXEC-19,2026-05-12,US Navy FY27 Plan,Official policy,Department of the Navy,Overseas/allied shipbuilding,"While American shipbuilding remains the priority, the Navy will evaluate overseas options and whether allied and partner shipbuilding can supplement domestic production if U.S. industry cannot meet required timelines.",US Navy FY27 Shipbuilding Plan (Navy Times May 12 2026),Plan budget document language,"Navy formally signals openness to overseas shipbuilding — the outsourcing strategy extends across borders, not just to US sub-tier vendors."
EXEC-20,2026-05-13,US Navy ""Golden Fleet"" Plan,Official policy,Department of the Navy,Sub IB investment plus distributed manufacturing,"To invest more than $6.2 billion specifically to expand and stabilize the submarine industrial base through workforce development, supplier expansion, distributed shipbuilding, advanced manufacturing technologies, and productivity modernization programs.","Army Recognition / Defense Post coverage of Navy 30-year plan (May 12-13, 2026)",30-year Golden Fleet plan,"$6.2B specifically for sub IB. Confirms distributed shipbuilding is part of the official sub IB strategy."
EXEC-21,2026-05-06,AML3D / BlueForge,Press release,AML3D,BlueForge concrete supplier example,"AML3D received a ~AU$2.61 million order from BlueForge Alliance for five replacement components for US Navy submarines, utilising ARCEMY 3D metal printing.","Small Caps reporting on AML3D contract (May 6, 2026)",AML3D press release,"REAL BlueForge downstream example: AML3D (Australian additive manufacturing) is a BlueForge sub-recipient. Provides a real archetype Saronic could compare to."
