input_row_number,vendor_uei,vendor,normalized_vendor,research_confidence,program_specificity,submarine_construction_role_summary,primary_work_categories,delivery_form_classification,delivery_form_detail,evidence_notes,source_urls_used
14,XEQ3L57D2J24,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,Johnson Controls International plc,High,Naval and nuclear-submarine specific; Virginia-class not named in source found,"Johnson Controls supplies HVAC, air-conditioning, refrigeration and chiller solutions for naval vessels. Its marine/navy materials state that its equipment is on all NATO nuclear-powered submarines and describe design, manufacture, testing, installation and lifecycle support of HVAC/R systems for naval vessels from submarines to carriers. For new submarine construction, the role is most likely submarine HVAC/R equipment packages and associated engineering/support.",HVAC/R; chillers; refrigeration; air conditioning; naval environmental-control systems,Equipment package plus service,"Delivered as HVAC/R equipment packages such as chillers, refrigeration and air-conditioning components, with associated design, testing, installation and support services. It is not raw material or a structural module.",Official Johnson Controls marine/navy pages describe naval HVAC/R systems and submarine applicability.,https://www.johnsoncontrols.com/marine-and-navy/hvac-solutions/navy-and-non-combat-solutions | https://www.johnsoncontrols.com/marine-and-navy/hvac-and-refrigeration | https://www.johnsoncontrols.co.uk/-/media/project/jci-global/johnson-controls/uki-region/united-kingdom/marine-and-navy/documents/global_marine_navy_profile_brochure_oct_2022.pdf
15,YD1GK53355R5,"PRECISION CUSTOM COMPONENTS, LLC","Precision Custom Components, LLC",Medium-High,Navy/submarine supplier evidence; exact Virginia-class item not publicly resolved,"Precision Custom Components is a heavy nuclear/manufacturing supplier that makes custom-fabricated pressure vessels, reactors, casks, heavy-walled components, heat exchangers, heavy weldments, and large-envelope machined parts. Public reporting describes it as supplying submarine components to the U.S. Navy, and acquisition coverage of its parent Precision Components Group notes support for Electric Boat, Bechtel Plant Machinery and other Navy programs. For submarine construction, the likely role is fabrication/machining/welding of large, high-specification metal or nuclear-related components rather than design of a complete ship system.",Heavy fabricated components; pressure vessels; heat exchangers; heavy weldments; large-envelope machining,Large discrete fabricated component / mid-finished heavy assembly,"Delivered as large fabricated or machined components, heavy weldments, pressure-vessel/heat-exchanger equipment, or partly finished assemblies that require integration by the shipbuilder or higher-tier system supplier.","Sources identify PCC’s heavy-walled component capabilities and Navy/submarine/Electric Boat support, but not a specific named Virginia-class part.",https://www.bwxt.com/bwxt-bolsters-american-nuclear-manufacturing-capability-with-strategic-acquisition/ | https://www.citybiz.co/article/834117/bwxt-to-acquire-precision-components-group-to-expand-u-s-nuclear-manufacturing-capacity/ | https://www.fox43.com/article/news/local/program-helping-pennsylvania-defense-manufacturers-find-workers/521-607d8224-93f1-4606-9742-765b505c71f3 | https://www.thomasnet.com/company/precision-custom-components-llc-149347/profile
16,EGAVSJTA2D81,GOODRICH CORP,Goodrich Corp. / Collins Aerospace legacy composites,High,Virginia-class specific,"Goodrich is documented as a supplier of major composite structures for Virginia-class submarines. Public sources report Goodrich delivery of the first composite sail cusp for Virginia-class Block III submarines, contracts for lightweight composite sail cusps, composite components including a hydrodynamically shaped bow dome that houses/protects the sonar array, and later manufacturing support for Virginia-class propulsors.",Composite hydrodynamic structures; sail cusp/fairing; bow dome; propulsor-related manufacturing support,Large discrete component / composite structural assembly,"Delivered as large composite structures or assemblies such as sail cusps/fairings and bow domes, and potentially propulsor-related manufactured components. These are not raw materials; they are structural/hydrodynamic components integrated into the hull/propulsor area.","Goodrich/UTC/DoD trade sources directly name Virginia-class sail cusps, bow dome composite components and propulsor manufacturing support.",https://www.prnewswire.com/news-releases/goodrich-delivers-first-composite-sail-cusp-for-virginia-class-submarine-149801805.html | https://www.defenseindustrydaily.com/49M-to-Goodrich-for-Virginia-Class-Block-III-Composite-Components-06089/ | https://www.naval-technology.com/news/pentagon-changes-propulsor-supplier/ | https://www.war.gov/News/Contracts/Contract/Article/4319114/contracts-for-sep-30-2025/
17,WYDAKCJ5K219,CURTISS-WRIGHT ELECTRO-MECHANICAL CORPORATION,Curtiss-Wright Electro-Mechanical Corporation,High,Virginia-class specific,"Curtiss-Wright Electro-Mechanical Systems is tied to Curtiss-Wright contracts for Virginia-class submarine equipment. Public Curtiss-Wright announcements identify EMS facilities as producing pumps, valves, generators and propulsors for Block IV Virginia-class submarines, with emphasis on nuclear propulsion systems and mission-critical naval machinery.",Electro-mechanical naval machinery; pumps; generators; propulsors; propulsion-system equipment,Equipment / rotating machinery,"Delivered as engineered machinery and electro-mechanical equipment such as pumps, generators and propulsor-related hardware, usually as discrete equipment/shipset items for integration into propulsion and auxiliary systems.",Curtiss-Wright EMS and corporate releases link the EMS business to Virginia-class pump/generator/propulsor work.,https://electro-mechanicalsystems.curtisswright.com/news/news-details/2015/Curtiss-wright-Awarded-480-Million-In-Contracts-For-Virginia-Class-Submarine-Program | https://curtisswright.com/news/press-releases/news-release-details/2015/Curtiss-Wright-Awarded-480-Million-in-Contracts-For-Virginia-Class-Submarine-Program | https://curtisswright.com/organization/naval-power
18,PF8PJNVEPTJ1,CURTISS-WRIGHT CORPORATION,Curtiss-Wright Corporation,High,"Virginia-class specific, but at parent-company level with multiple business units","Curtiss-Wright has multiple documented Virginia-class submarine roles. Public announcements describe contracts to supply pumps, valves, generators, propulsors, propulsion valves, advanced instrumentation and control systems, and related naval nuclear-propulsion equipment for Virginia-class submarines as well as Columbia-class submarines and Ford-class carriers. At the parent-company level, this row is best treated as a multi-product naval equipment supplier rather than a single-item supplier.",Naval propulsion equipment; valves; pumps; generators; propulsors; instrumentation and control systems,Mixed / multiple equipment types,"Delivered mostly as discrete engineered equipment, shipsets, and integrated instrumentation/control-system hardware. Not raw material; not a hull module. Parent-company row is inherently mixed across Curtiss-Wright divisions.","Company press releases identify Virginia-class contracts and product families, including pumps, valves, generators, propulsors, propulsion valves, pumps, and I&C systems.",https://curtisswright.com/news/press-releases/news-release-details/2024/curtiss-wright-awarded-contracts-valued-excess-130-million-support-critical-us-naval-defense | https://curtisswright.com/news/press-releases/news-release-details/2015/Curtiss-Wright-Awarded-480-Million-in-Contracts-For-Virginia-Class-Submarine-Program | https://curtisswright.com/organization/naval-power
19,PVMFSLG6GFF7,MTS SYSTEMS CORPORATION,MTS Systems Corporation,Low-Medium,Defense/naval testing specific; exact Virginia-class new-construction role not resolved publicly,"MTS Systems is a supplier of precision test and simulation systems, including defense test systems used to validate vessels, weapons systems, materials, structures, and equipment against shock, strain, dynamic loading, and environmental conditions. Public sources show MTS equipment such as FlexTest controllers used at Naval Surface Warfare Center Carderock. I did not find a public source identifying a specific MTS component installed on Virginia-class submarines. In this subaward context, the likely role is test equipment, controls, installation, calibration or support used to qualify submarine materials/components or production processes, rather than a delivered submarine onboard part.",Test and simulation systems; dynamic/shock/materials testing; test controllers; calibration/support,Service / test equipment / unresolved,"Delivered as laboratory or production test equipment, controllers, actuators/hydraulic components, installation and support services. It is probably enabling production/qualification rather than a shipboard component, but exact delivery is unresolved.",MTS official defense pages document vessel/weapons shock/dynamic testing applications; Carderock procurement traces identify MTS controller equipment.,https://www.mts.com/en/industries/defense | https://www.mts.com/en/industries/defense/blast | https://www.mts.com/en/products/test-system-components | https://www.highergov.com/contract-opportunity/flextest-40-controller-n0016725q1115-k-f4afc/ | https://www.highergov.com/awardee/mts-systems-corporation-10007404/
20,Y6X3BDLEPNJ6,"W INTERNATIONAL SC, LLC","W International SC, LLC / acquired Goose Creek facility now within HII Newport News Shipbuilding",High,Virginia-class and Columbia-class specific,"W International SC was a South Carolina complex metal fabricator whose Goose Creek operation produced modules used in Virginia-class and Columbia-class submarine construction. HII/NNS acquired substantially all assets and workforce in 2025 to expand production of nuclear-powered submarine modules and aircraft-carrier units. Public reporting says modules from the Goose Creek operation include Virginia-class habitability, auxiliary machine room, and weapons modules.",Submarine module fabrication; complex metal fabrication; shipbuilding structures and assemblies,Modular assembly / structural unit,"Delivered as large fabricated structures, modules, and assemblies, including named Virginia-class module types, for shipment to/integration by Newport News or Electric Boat.","USNI, HII and Virginia Business sources directly identify W International modules used in Virginia/Columbia submarine construction.",https://news.usni.org/2025/01/27/hii-completes-aqusition-of-w-international-assets | https://news.usni.org/2024/12/04/newport-news-shipbuilding-acquires-south-carolina-facility-from-w-international | https://www.hii.com/news/hii-expands-shipbuilding-capacity-announcing-intent-to-acquire-south-carolina-advanced-metal-fabricator-assets-and-workforce | https://virginiabusiness.com/newport-news-shipbuildings-south-carolina-manufacturing-facility-is-up-and-running/
21,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.","Advance Mfg. Co., Inc.",Medium,Submarine industrial-base supplier; exact Virginia-class item not resolved publicly,"Advance Mfg. Co. is a precision machining, welded fabrication and assemblies company serving military, marine, aerospace and other high-specification markets. It appears in submarine industrial-base supplier listings and public company pages describe large welded fabrication up to 20,000 pounds, precision CNC machining, NDT, and NAVSEA/military certifications. For submarine construction, the most likely role is precision machined parts, welded assemblies, and possibly specialized assembly tooling/torque equipment rather than a complete ship system.",Precision machining; welded fabrication; NDT; assemblies; assembly tooling,Discrete machined component / fabricated assembly / service,"Delivered as machined metal components, welded/fabricated assemblies, inspected parts, and potentially specialized torque/assembly tooling. Exact part family for Virginia-class construction is not public in the sources found.","Company capability pages and submarine supplier listings support marine/military/submarine industrial-base role, but not a named Virginia-class component.",https://www.advancemfg.com/ | https://www.advancemfg.com/pages/about/about.html | https://www.advancemfg.com/pages/capabilities/group4_4.html | https://m.advancemfg.com/capabilities/group6a/ndt/ | https://submarinesuppliers.org/wp-content/uploads/2021/02/22MA.pdf
22,J9V9SJL4CW97,CURTISS-WRIGHT FLOW CONTROL CORPORATION,Curtiss-Wright Flow Control Corporation,High,Virginia-class specific,"Curtiss-Wright Flow Control is documented as a Virginia-class valve supplier, especially for nuclear-propulsion/reactor-plant applications. Public releases describe awards to provide critical valves for Virginia-class submarines, including reactor-plant valves for multiple shipsets, and identify Flow Control as designing and manufacturing highly engineered valves, pumps, motors, generators, electronics and systems for military/naval programs.",Reactor-plant valves; nuclear-propulsion valves; flow-control equipment; spare components,Discrete equipment / component shipset,"Delivered as valves and valve shipsets/spares for nuclear propulsion and ship fluid systems. These are engineered equipment components, not modules or raw material.",Sources directly state Curtiss-Wright Flow Control awards for Virginia-class reactor-plant/nuclear-propulsion valves.,https://curtisswright.com/news/press-releases/news-release-details/2011/Curtiss-Wright-Awarded-66-Million-Contract-for-US-Navy-Virginia-Class-Submarine-Program | https://www.prnewswire.com/news-releases/curtiss-wright-awarded-66-million-contract-for-us-navy-virginia-class-program-117403738.html | https://curtisswright.com/news/press-releases/news-release-details/2008/Curtiss-Wright-Awarded-83-Million-Contract-for-US-Navy-Virginia-Class-Submarine-and-Ford-Class-Aircraft-Carrier-Programs | https://www.vma.org/news/88188/Curtiss-Wright-Flow-Control-Awarded-40-Million-in-Contracts-for-U.S.-Navy-Nuclear-Powered-Ships.htm
23,XQW8RJNNAXX8,"W INTERNATIONAL, LLC","W International, LLC / W International module-manufacturing group",Medium-High,Virginia-class and Columbia-class specific at W International group/facility level; UEI-specific operating entity less clear,"W International, as a group/facility network, is publicly described as a manufacturer of large complex metal fabrications, shipbuilding structures, modules and assemblies. Public reporting states that W International produced modules for General Dynamics Electric Boat and Newport News and that the acquired Goose Creek facility made modules used in Virginia-class and Columbia-class submarine construction. Because this row is W International, LLC rather than the W International SC entity, I treat the role as the same module/fabrication family but with slightly lower UEI-specific certainty.",Complex metal fabrication; shipbuilding structures; submarine modules and assemblies,Modular assembly / structural unit,"Delivered as large modules, structural units, and fabricated assemblies for submarine construction; likely shipped to prime shipyards for integration.",W International group/facility sources identify module fabrication for Virginia/Columbia submarines; W International LLC profile confirms large complex metal fabrication capabilities.,https://news.usni.org/2025/01/27/hii-completes-aqusition-of-w-international-assets | https://news.usni.org/2024/12/04/newport-news-shipbuilding-acquires-south-carolina-facility-from-w-international | https://www.highergov.com/awardee/w-international-llc-10425136/ | https://www.highergov.com/awardee/w-international-sc-llc-12674116/ | https://virginiabusiness.com/hii-closes-on-south-carolina-plant-acquisition/
