Subawardee UEI,Role / Description,Source URLs,NAICS-6 code,NAICS-6 title
ZFQBUPK552C3,"The exact Virginia-class item could not be confirmed publicly. The company is a fabricated-structural-metal manufacturer and appears as a subcontractor on Virginia-class construction, but available sources do not identify the specific fabrication.","https://www.highergov.com/awardee/the-h-r-hillery-company-10083600/
https://govtribe.com/award/federal-contract-award/definitive-contract-n0002417c2117",332312,Fabricated Structural Metal Manufacturing
FWF8QBPCGLG3,"Builds mission-critical welded, fabricated, and machined components supporting Virginia-class Blocks III-V construction and modernization. The exact component covered by this subaward was not publicly identified.","https://gentool.com/industry/defense/
https://gentool.com/capability/fabrication-services/
https://www.businesswire.com/news/home/20260204254017/en/Ventus-Industrial-Partners-Announces-the-Formation-of-Aeron-Defense-a-New-Force-in-the-Defense-Sector-and-the-Acquisitions-of-General-Tool-Company-and-Magna-Machine-in-Partnership-with-GenNx360-Capital-Partners-and-Admiralty-Partners",336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing
E2P8AAJA2LK5,"Produces precision-machined Level I/SUBSAFE critical components for Virginia- and Columbia-class submarines, including sole-source parts. The exact component covered by this subaward was not publicly disclosed.","https://microprecisiongroup.com/
https://compasspartners.com/compass-partners-announces-new-board-for-micro-precision-llc/
https://portal.ct.gov/OMA/In-the-News/2013-News/EB-Submarineparts-Makers-Take-Their-Case-For-Funding-To-Capitol-Hill",332721,Precision Turned Product Manufacturing
JFHLZNJLWAN5,"The exact Virginia-class deliverable could not be confirmed publicly. Paradigm manufactures complex precision-machined and fabricated components for aerospace, power-generation, and marine markets, but reviewed sources did not tie a specific product to this subaward.","https://paradigmprecision.com/about/
https://ir.carlyle.com/news-releases/news-release-details/carlyle-group-portfolio-company-paradigm-precision-completes",332710,Machine Shops
Q35JL9GFCAK3,"Supplies more than 150 components on USS New Jersey (SSN 796), including complex valve manifolds and other motion- and flow-control components. These products manage fluid and actuation functions across submarine systems.","https://marotta.com/marotta-controls-celebrates-u-s-navy-commissioning-of-23rd-virginia-class-submarine-the-uss-new-jersey/
https://marotta.com/products/flow-controls/shipboard-controls/",332912,Fluid Power Valve and Hose Fitting Manufacturing
F1UZPBD1VBH9,"Supplies industrial-grade Siemens/Ruggedcom networking hardware and components for Virginia-class hull, mechanical, and electrical networks. The exact network configuration covered by this subaward was not publicly disclosed.","https://www.war.gov/News/Contracts/Contract/Article/1211091/contracts-for-jun-12-2017/
https://www.highergov.com/subcontract/N0002424C2110-1000115768/",541519,Other Computer Related Services
WESDY4U81NP8,"Supplies Level I specialty-alloy forgings, fittings, and pipe through the acquired Custom Alloy business, including Virginia-class main-seawater-system fittings.","https://www.jflco.com/news-article/153/trident-maritime-systems-acquires-assets-of-custom-alloy-corporation
https://www.prnewswire.com/news-releases/trident-maritime-systems-acquires-assets-of-custom-alloy-corporation-301855869.html
https://customalloycorp.com/about-custom-alloy/",332996,Fabricated Pipe and Pipe Fitting Manufacturing
VKBFB8MAZ357,"The exact Virginia-class item could not be confirmed publicly. TiFab is a long-time U.S. Navy shipbuilding supplier that fabricates titanium, zirconium, and nickel-alloy pressure vessels, piping spools, heat exchangers, pump housings, and valve bodies.","https://www.tifab.com/industries-served/military-and-defense/
https://www.tifab.com/fabricated-products/
https://www.tifab.com/",332313,Plate Work Manufacturing
YD1GK53355R5,"Performs heavy fabrication and welding of large-scale, complex components for Virginia-class submarines. Public sources confirm class support but do not identify the specific installed component associated with this row.","https://www.buildsubmarines.com/newsroom/giants-of-skilled-trades-logan-mego-precision-custom-components
https://investors.bwxt.com/news-releases/news-release-details/bwxt-bolsters-american-nuclear-manufacturing-capability/",332313,Plate Work Manufacturing
G9HKMXL5L973,Supplies resilient weapon-system mounts installed on Virginia-class submarines. Federal logistics cross-reference data links Oil States part numbers 5MC10000-H and ND8714 to Electric Boat’s SSN-774 mount assembly.,"https://www.wbparts.com/rfq/5342-01-525-1347.html
https://www.parttarget.com/5342-01-525-1347_5342015251347_H7110101A-14.html",326291,Rubber Product Manufacturing for Mechanical Use
WREEAHYMRQ45,Supplies linear electrical accelerometers for Virginia-class submarines. Federal logistics data identifies PCB part 631M15/003JV (NSN 6680-01-589-2611) as an SSN-774 end-item component.,"https://www.wbparts.com/rfq/6680-01-589-2611.html
https://www.parttarget.com/PCB-Piezotronics-Inc_nsn-parts_607A11-030BZ_A001620.html",334419,Other Electronic Component Manufacturing
MMCKJNNMSG23,"Performs precision machining, welding, fabrication, and assembly for Electric Boat submarine work; public vendor records identify products such as pump housings, manifolds, and submarine torque tooling. No public source ties a specific part number to this Virginia-class row.","https://govtribe.com/vendors/advance-mfg-dot-co-dot-inc-dot-29293
https://www.advancemfg.com/pages/history.html
https://www.advancemfg.com/pages/capabilities/group10_2.html",332710,Machine Shops
PUG1H9MFJD63,"Supplies heavy fabricated material for the Virginia-class propulsor forward assembly. A disclosed AT&F subcontract sits under BAE’s Navy contract for Virginia-class propulsor forward-subassembly material, manufacturing, and delivery.","https://www.highergov.com/subcontract/N0016724D0004-N0016725F1185-412960/
https://www.highergov.com/contract/N0016724D0004-N0016725F1185/
https://www.baesystems.com/en-us/article/bae-systems-awarded-92-million-us-navy-contract-for-virginia-class-submarine-propulsors",332313,Plate Work Manufacturing
K3XPS1HXNBF3,"Machines long, tight-tolerance submarine parts for Electric Boat using a dedicated facility built to bore and hone long components. Public sources confirm submarine manufacturing support but do not identify the specific Virginia-class part.","https://bfmachine.com/whats-new/
https://bfmachine.com/capabilities-equipment/cnc-milling/",332710,Machine Shops
GZ57A195G7K6,Supplies electrical-resistance temperature “lower probe” assemblies used in Virginia-class submarine engineering and diesel systems. Federal logistics data identifies Waukesha part C370-023 and related part F061-000-033 item 168 for SSN-774; a public source for the exact bearing assembly monitored was not found.,"https://www.lqlite.com/NSN/6685-01-379-6353
https://www.waukbearing.com/en/industries/marine.html",541330,Engineering Services
LCV2N9FVV739,"This UEI is Northrop Grumman Marine Systems in Sunnyvale, California. Northrop’s public filings identify the business as a producer of Virginia-class main-propulsion and ship-service turbine-generator equipment; the exact subaward line item is not publicly separated further.","https://www.highergov.com/awardee/northrop-grumman-systems-corporation-10107763/
https://investor.northropgrumman.com/node/34781/html
https://www.northropgrumman.com/what-we-do/sea",335312,Motor and Generator Manufacturing
HUDHMPV9B6M9,"This UEI maps to Northrop Grumman’s Sykesville, Maryland operation, which manufactures specialized electronic, electromechanical, and control assemblies. I found no public source identifying the exact Virginia-class construction component attributable to this entity, so a platform-specific part should not be inferred.","https://www.highergov.com/awardee/northrop-grumman-systems-corporation-10110249/
https://www.sledai.com/tools/public-spend/vendor/northrop-grumman-systems-corporation-hudhmpv9b6m9/",339999,All Other Miscellaneous Manufacturing
HDM5WRBME2K7,"This UEI is the Alliant Techsystems/Northrop Grumman Rocket Center, West Virginia propulsion-products operation. Its public business is missile and rocket propulsion, and I found no credible public evidence of a Virginia-class submarine-construction role for this exact entity.",https://www.highergov.com/awardee/alliant-techsystems-operations-llc-10112939/,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing
EPSYXPS5MK39,"Northrop Grumman’s Annapolis undersea-systems entity supplies acoustic and sonar-related hardware. A Navy notice tied to this UEI identifies an acoustic sonar baffle, providing a concrete submarine construction item, although the public notice does not name the specific Virginia-class hull.","https://www.sweetspot.so/markets/federal/contractors/northrop-grumman-systems-corporation-epsyxps5mk39/
https://sam.gov/workspace/contract/opp/241e9e8fd83c47399e62f57ecaa43865/view",339999,All Other Miscellaneous Manufacturing
SX6BF52K2WB1,"VACCO Industries supplies critical-quiet fluid-control valves, manifolds, and filtration assemblies for Virginia-class submarines. VACCO reported nearly 40 of its valves/manifolds aboard USS North Dakota (SSN-784), distinguishing this entity as a quiet-valve and manifold supplier.","https://www.sweetspot.so/markets/federal/contractors/vacco-industries-sx6bf52k2wb1/
https://www.vacco.com/index.php/navy/overview
https://www.vacco.com/index.php/news/P20",332912,Fluid Power Valve and Hose Fitting Manufacturing
HMBSX7Z72UK4,"Westland Technologies manufactures molded elastomeric submarine products, including acoustic/sonar baffles, hull treatments, and vibration- or signature-reduction components. A Navy notice tied to this UEI identifies an acoustic sonar baffle, while Westland lists the Virginia class among its supported programs.","https://westland.globecomposite.com/
https://westland.globecomposite.com/capabilities
https://sam.gov/workspace/contract/opp/470787f61001413ab070ef04e70353d5/view",326291,Rubber Product Manufacturing for Mechanical Use
SLD5KEGGLLZ3,"Johnson Controls Navy Systems is the York, Pennsylvania naval HVAC/refrigeration entity. It designs and manufactures submarine-qualified chillers, compressors, controls, and other environmental-control equipment; public sources do not identify the exact Virginia-class unit in this subaward.","https://www.highergov.com/awardee/johnson-controls-navy-systems-llc-10120173/
https://www.johnsoncontrols.com/industries/marine-and-navy/navy
https://www.pct.edu/give/corporate-tomorrow-makers/johnson-controls-navy-systems",333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
J3AFGKXWYK73,"This is the legacy York International registration at the same York, Pennsylvania HVAC/refrigeration complex. I could not distinguish a separate Virginia-class deliverable from Johnson Controls Navy Systems; the public record supports YORK-branded HVAC/R equipment but not a unique component for this UEI.","https://www.govchime.com/market-intelligence/awards/CONT_AWD_0001_9700_SPE4A616D5099_9700
https://www.johnsoncontrols.com/industries/marine-and-navy/navy
https://www.naics.com/company-profile-page/?co=2780",333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
JKZNKGGWYZ87,"Curtiss-Wright’s Cheswick, Pennsylvania electro-mechanical operation manufactures nuclear-fleet pumps, motors, generators, and related propulsion-plant machinery. The exact Virginia-class machine represented by this subaward is not publicly itemized, so the role cannot be narrowed beyond that equipment family.","https://www.sweetspot.so/markets/federal/contractors/curtiss-wright-electro-mechanical-corporation-jkznkggwyz87/
https://electro-mechanicalsystems.curtisswright.com/",335312,Motor and Generator Manufacturing
MWAKL633WET8,"This UEI is Curtiss-Wright’s Wellsville, New York Steam & Air Solutions operation. It manufactures naval steam turbines, turbine-generator components, and high-pressure air compressors; public sources do not identify which Virginia-class unit was supplied under this subaward.","https://www.highergov.com/awardee/curtiss-wright-electro-mechanical-corporation-10108964/
https://electro-mechanicalsystems.curtisswright.com/",333611,Turbine and Turbine Generator Set Units Manufacturing
JU5GNH1H5FV6,"DY4/Curtiss-Wright Defense Solutions in Ashburn supplies rugged embedded computing hardware, including VPX single-board computers and processing modules. A Navy notice tied to the entity identifies a VPX computer, but the precise Virginia-class subsystem using it is not publicly disclosed.","https://www.highergov.com/awardee/curtiss-wright-ds-inc-10116343/
https://sam.gov/opp/70e87d68257542a9a2ba9ab863ac6d8f/view
https://www.curtisswrightds.com/products/computing",334111,Electronic Computer Manufacturing
C1PGRWC26153,"Exlar manufactures electromechanical linear and rotary actuators. Navy procurement records tied to this UEI identify actuator hardware, but I found no public source identifying the exact Virginia-class valve, control, or machinery application.","https://www.highergov.com/awardee/exlar-corporation-10410604/
https://sam.gov/opp/8efd2f5f01a74ab3a77d7f145812e648/view
https://www.curtisswright.com/products/industrial/exlar",335312,Motor and Generator Manufacturing
WJ45NXW2TVD7,"This UEI is Moog’s Orrville, Ohio AMPAC-ISP operation, whose distinct product line is fluid-power cylinders and actuators. I found no public source naming the exact Virginia-class actuator supplied by this site, so the program role can be confirmed only at the fluid-power-actuation level.","https://www.highergov.com/awardee/moog-inc-10110703/
https://app.g2xchange.com/companies/WJ45NXW2TVD7",333995,Fluid Power Cylinder and Actuator Manufacturing
