Subawardee UEI,Capability Domain (D),Capability Domain Basis,Capability Domain URLs,Primary Output (P),Primary Output Basis,Primary Output URLs
GLRVV6FC6DB3,D0,"Workforce training and learning-content administration are general production support, not a technical ship-area competence.",https://www.gpstrategies.com/news/gp-strategies-corporation-reaches-50-years-of-learning/; https://www.gpstrategies.com/training-courses/page/3/,P6,Workforce training and learning content are labor/technical work products.,https://www.gpstrategies.com/; https://www.gpstrategies.com/about-us/; https://www.gpstrategies.com/news/gp-strategies-corporation-reaches-50-years-of-learning/
GTP8S87MBPF3,D5,"The discernible specialty is HVAC, chilled-water and steam utilities, and thermal-system controls, so the service firm retains D5.",https://www.highergov.com/subcontract/N0002417C2117-SNE090-037/; https://www.highergov.com/awardee/greenland-enterprises-inc-10002202/; https://www.apeiron-construction.com/feb2025-doing-more-with-less/,P6,"Design-build shipyard utility/infrastructure work is facility support, not an installed ship article.",https://www.highergov.com/subcontract/N0002417C2117-SNE090-037/; https://www.highergov.com/awardee/greenland-enterprises-inc-10002202/
GUD4TJE3FN31,D4,Rotary and screw pump-and-motor assemblies are functional pumping equipment for shipboard fluid systems.,https://www.imo-pump.com/; https://www.imo-pump.com/product_marine.htm; https://www.imo-pump.com/aboutus.htm,P3,Rotary/screw pump-and-motor assemblies are bounded functional pumping equipment.,https://www.imo-pump.com/; https://www.imo-pump.com/product_marine.htm; https://www.imo-pump.com/product_3screw.htm
GXPHJRVG9MR7,D2,"The Columbia electric-propulsion site’s strongest differentiating signal is solid-state main-propulsion drive hardware, outweighing secondary power-distribution work.",https://www.leonardodrs.com/news/press-releases/leonardo-drs-awarded-contracts-for-u-s-navys-columbia-class-submarine-program/; https://www.leonardodrs.com/what-we-do/our-solutions/power-propulsion/,P3,Delivered article is bounded propulsion-drive/power-distribution equipment; no UEI-specific proof of one integrated propulsion shipset.,https://www.leonardodrs.com/news/press-releases/leonardo-drs-awarded-contracts-for-u-s-navys-columbia-class-submarine-program/; https://www.naval-technology.com/news/leonardo-drs-makes-land-grab-for-naval-propulsion-manufacturing/; https://seapowermagazine.org/drs-delivers-advanced-electric-propulsion-equipment-for-lead-columbia-class-submarine/?print=print
GZ57A195G7K6,D2,"Custom hydrodynamic thrust and journal-bearing engineering serves the main propulsion train, and D2 explicitly includes bearings.",https://www.waukbearing.com/en/industries/marine.html; https://www.waukbearing.com/en/products/fluid-film-bearings.html; https://www.waukbearing.com/en/resources/bearing-knowledge/hydrodynamic-bearings.html,P6,"Design, analysis, and qualification of bearings are engineering/technical work products.",https://www.waukbearing.com/en/industries/marine.html; https://www.waukbearing.com/en/products/fluid-film-bearings.html; https://www.waukbearing.com/en/products/fluid-film-bearings/thrust-bearings.html
H11HD5VHGHN3,D6,Sonar signal-processing and interface electronics and software integrate hull arrays into the acoustic and combat system.,https://www.lockheedmartin.com/en-us/capabilities/undersea-warfare.html; https://investors.lockheedmartin.com/news-releases/news-release-details/lockheed-martin-awarded-tb-34-next-generation-towed-array/; https://www.afcea.org/signal-media/lockheed-provide-submarine-situational-awareness-system,P3,Sonar signal-processing/interface electronics are bounded functional units; no full sonar shipset handoff is proven.,https://news.lockheedmartin.com/2005-02-14-Lockheed-Martin-Awarded-Contract-for-Sonar-Upgrades-for-U-S-Navy-Submarines; https://archive.navalsubleague.org/2005/the-an-bqq-lov-sonar-maintaining-leading-edge-technology-for-the-submarine-force; https://www.dote.osd.mil/Portals/97/pub/reports/FY2016/navy/2016arci.pdf?ver=2019-08-22-105302-370
HLVNZXU8EAM1,D3,Static automatic bus-transfer switches are ship-service electrical-distribution and source-transfer equipment.,https://www.l3harris.com/all-capabilities/static-automatic-bus-transfer; https://www.l3harris.com/all-capabilities/multi-class-static-automatic-bus-transfer,P3,Static automatic bus-transfer switches are bounded functional electrical-distribution units.,https://www.l3harris.com/all-capabilities/static-automatic-bus-transfer; https://www.l3harris.com/all-capabilities/multi-class-static-automatic-bus-transfer; https://www.yumpu.com/en/document/view/24749553/static-automatic-bus-transfer-sabt-power-paragon-inc
HMBSX7Z72UK4,D9,"Molded elastomeric acoustic baffles, hull treatments, and vibration-damping parts are specialty-material and signature-control components.",https://westland.globecomposite.com/; https://westland.globecomposite.com/capabilities; https://investor.escotechnologies.com/news-releases/news-release-details/esco-announces-acquisition-westland-technologies-inc,P2,"Elastomeric acoustic baffles, hull treatments, and damping parts are fit-ready signature-reduction components.",https://westland.globecomposite.com/capabilities; https://www.globecomposite.com/defense; https://investor.escotechnologies.com/news-releases/news-release-details/esco-announces-acquisition-navy-submarine-supplier
HSV2N9ACRTJ6,D4,"Relief, control, and angle valves protect pressure boundaries and regulate fluid flow.",https://www.highergov.com/awardee/emerson-automation-solutions-final-control-us-lp-10109259/; https://govtribe.com/award/federal-contract-award/purchase-order-n0010422pbn96; https://www.emerson.com/en/final-control/catalog/products-and-software/valves,P3,"Pressure-relief, control, and angle valves are bounded functional flow-control units.",https://www.emerson.com/en-us/automation/control-and-safety-systems/valves-actuators-regulators; https://www.dla.mil/Portals/104/Documents/LandAndMaritime/V/VE/LM_Limited_Source_List_Jul_2018_20180711.xlsx%3Fver%3D2018-07-11-151233-330
HUK5MJK4MH39,D4,"Regulating, pressure-reducing, relief, and control valves are direct fluid and pressure-system equipment.",https://www.circor.com/brands/leslie-controls; https://valve-world-americas.com/leslie-controls-awarded-contract-for-submarines/,P3,"Regulating, pressure-reducing, and control valves are functional flow-control units.",https://leslievalves.com/; https://www.circor.com/sites/default/files/imported-files/Regulator-Handbook-CIRCOR-Leslie-Controls.pdf; https://www.marinelog.com/news/leslie-controls-wins-565-million-virginia-class-valve-contract/
HW4GNCTLLAM4,D1,"The disclosed deliverable is fabricated bearing-support and structural demonstration hardware, so structural fabrication, not the propulsor system, controls.",https://www.ga.com/general-atomics-delivers-first-of-two-bearing-support-structures-for-columbia-class-submarines; https://www.ga.com/general-atomics-awarded-manufacturing-contract-for-columbia-class-submarine-bearing-support-structures,P2,Bearing-support structures and propulsor demonstration hardware are fabricated structural components.,https://www.naval-technology.com/news/ga-ems-delivers-first-bss-for-us-navys-columbia-class-submarine/; https://columbia-class.com/design.asp
JAXJSTJJSP74,D6,"The identified R&D concentrates on undersea sensing and acoustics, networking, and autonomous mission payloads, all within D6.",https://www.rtx.com/who-we-are/we-are-rtx/transformative-technologies/bbn/maritime; https://www.rtx.com/raytheon/what-we-do/bbn,P6,"Modeling, simulation, sensing/acoustics, and networking R&D are technical work products.",https://www.rtx.com/who-we-are/we-are-rtx/transformative-technologies/bbn; https://www.rtx.com/who-we-are/we-are-rtx/transformative-technologies/bbn/maritime
JEP5GQGFPUL9,D4,Navy-qualified ball and specialty valves isolate and control shipboard fluid flow.,https://www.circor.com/news/circor-brand-portland-valve-announces-50-year-anniversary,P3,Navy-qualified ship-service valves are functional fluid-isolation/control equipment.,https://www.circor.com/news/circor-brand-portland-valve-announces-50-year-anniversary; https://www.circorpt.com/technologies-valves; https://www.warrenpumps.com/about.htm
JG6AMW7E23Z6,D0,"Freight forwarding and customs logistics reveal no technical ship-area competence, and the cargo is not identified.",https://www.chpowell.com/; https://www.highergov.com/awardee/c-h-powell-company-10021683/,P6,"Freight forwarding, customs brokerage, and project-cargo logistics are service handoffs.",https://www.chpowell.com/; https://www.chpowell.com/tandem-global/
JKZNKGGWYZ87,D0,"The undisclosed Columbia item could be a pump (D4), generator (D3), or propulsion machine (D2), with no primary.",https://curtisswright.com/organization/naval-power; https://curtisswright.com/markets/defense/naval-defense,P3,"Pumps, motors, generators, and propulsion-plant machinery are bounded functional equipment.",https://electro-mechanicalsystems.curtisswright.com/; https://curtisswright.com/organization/naval-power; https://curtisswright.com/markets/defense/naval-defense
JU5GNH1H5FV6,D7,"Rugged VPX embedded computers and processing modules are component-level electronic hardware, regardless of eventual mission subsystem.",https://defense-solutions.curtisswright.com/products/computing; https://www.highergov.com/awardee/dy4-inc-10144319/; https://curtisswright.com/news/press-releases/news-release-details/2004/Curtiss-Wright-Completes-Acquisition-of-Dy-4-Systems-Inc,P3,"Rugged VPX computers/processing modules are bounded functional electronic units, subsystem not identified.",https://defense-solutions.curtisswright.com/products/computing; https://defense-solutions.curtisswright.com/products/computing-systems; https://defense-solutions.curtisswright.com/capabilities/open-architectures/other/vpx
K3XPS1HXNBF3,D9,"Five-axis machining of precision cases, rings, shrouds, brackets, and mounts is the differentiating process; no complete system is identified.",https://bfmachine.com/markets-served/; https://www.highergov.com/awardee/b-f-machine-co-inc-12297239/,P2,Machined flow-path/support hardware are fit-ready components for larger machinery systems.,https://www.highergov.com/awardee/b-f-machine-co-inc-12297239/; https://submarinesuppliers.org/wp-content/uploads/2020/03/CT.pdf; https://www.senatorchrismurphy.com/search/?q=B%26F%20Machine
KENVPMBVBT39,D1,"Completed submarine decks, modules, weldments, and structural outfitting are hull and structural fabrication.",https://www.rhoadsinc.com/rhoads-industries-opens-new-high-capacity-pier-6a-to-support-u-s-navy-submarine-programs/,P5,Completed submarine decks/modules are transferred as defined shipbuilding units.,https://www.rhoadsinc.com/rhoads-industries-opens-new-high-capacity-pier-6a-to-support-u-s-navy-submarine-programs/; https://www.gdeb.com/qp/
KYURG7LRSC89,D4,Centrifugal pumps and pump components are functional shipboard fluid-system equipment.,https://www.circor.com/news/circor-brand-warren-pumps-holds-125th-year-anniversary-event; https://www.warrenpumps.com/; https://pumps.circor.com/applications/defense,P3,Centrifugal pumps and pump assemblies are bounded functional fluid machinery.,https://www.warrenpumps.com/about.htm; https://www.circorpt.com/warren-pumps; https://www.warrenpumps.com/military.htm
LCV2N9FVV739,D6,"[MECE 2026-06-20: D2/D3 dual-domain crack resolved by dollar-dominant ship function -> D6, was D0] The UEI’s disclosed work spans the Common Missile Compartment launcher (D6) and power-generation equipment (D3), with no separable primary scope.",https://www.northropgrumman.com/what-we-do/sea; https://www.northropgrumman.com/careers/northrop-grumman-in-sunnyvale-california; https://www.highergov.com/contract/N0003022C1013/,P4,"Handoff is subsystem-level Columbia launcher/power-generation hardware with configured interfaces, not merely individual parts.",https://www.northropgrumman.com/what-we-do/sea; https://www.northropgrumman.com/careers/northrop-grumman-in-sunnyvale-california; https://www.highergov.com/contract/N0003022C1013/
LG88NCWJ3A95,D4,Desurgers and bladder surge arrestors store and damp pressure in shipboard fluid systems.,https://www.youngeng.com/defense/; https://www.youngeng.com/fire/bladder-surge-arrestors/,P3,Desurgers and bladder surge arrestors are functional fluid-system pressure-control units.,https://www.youngeng.com/defense/; https://www.youngeng.com/oil-gas/bladder-surge-arrestors/
LJRBXLTGXN57,D5,"Atmosphere-control scrubbers remove submarine air contaminants, a direct life-support function.",https://www.gao.gov/products/b-418284; https://www.linkedin.com/company/cepeda-associates,P3,Atmosphere-control scrubbers/life-support equipment are acceptance-testable functional machinery.,https://www.workwithcepeda.com/about; https://www.highergov.com/contract-opportunity/us-navy-virginia-cla-n32253-22-c-0005-award-n3225322c0005-cepeda-associates-inc-5d9c1/
LL3PZJHUKZV3,D1,"The handled and processed material is submarine plate, shapes, and formed structural parts, so the distributor rule points to D1.",https://americansteelandaluminum.com/; https://americansteelandaluminum.com/about-us/,P2,"Cut/form plate and structural parts are dimensionally prepared fabricated components, not raw stock.",https://americansteelandaluminum.com/; https://americansteelandaluminum.com/locations/; https://www.gdeb.com/suppliers/10_quality/approved_suppliers/Level1ApprovedSuppliers.pdf
LPWJLN5JQPW4,D9,Large high-integrity steel castings are classified by the foundry and material process because the subsystem is undisclosed.,https://www.sheffieldforgemasters.com/news-and-insights/news/08/forgemasters-secures-us-defence-contacts-worth-30-million-dollars/,P1,Large steel castings are near-net metal inputs whose downstream machining/subsystem integration is undisclosed.,https://www.navylookout.com/progress-on-the-royal-navy-dreadnought-class-submarine-programme/; https://www.esd.whs.mil/Portals/54/Documents/FOID/Reading%20Room/Selected_Acquisition_Reports/FY_2018_SARS/19-F-1098_DOC_68_Navy_SSBN_826_SAR_Dec_2018_REDACTED.pdf; https://www.telegraph.co.uk/business/2016/08/09/boost-for-british-steel-as-sheffield-forgemasters-wins-deal-to-s/
LSMBJZFLN8L9,D6,Missile-tube assemblies and Integrated Tube Hulls form the strategic launcher system in the Common Missile Compartment.,https://www.babcockinternational.com/news/babcock-awarded-multimillion-pound-missile-tube-contract-extension-by-electric-boat/; https://www.babcockinternational.com/who-we-are/our-sectors/marine/port-babcock-rosyth/,P5,Integrated Tube Hull/Common Missile Compartment structures are major submarine structural modules.,https://www.babcockinternational.com/news/babcock-awarded-multimillion-pound-missile-tube-contract-extension-by-electric-boat/; https://www.navaltoday.com/2020/06/03/babcock-to-provide-another-18-missile-tube-assemblies-for-uk-us-submarines/; https://columbia-class.com/design.asp
MAENKG4UJLK8,D7,"Reactor and steam-plant instrumentation, control panels, electronics, and cabling are component-level electronic hardware.",https://gdmissionsystems.com/submarine-systems/columbia-class; https://news.lockheedmartin.com/2008-09-23-Lockheed-Martin-Awarded-Contract-to-Produce-Low-Cost-Conformal-Arrays-for-U-S-Navy,P3,"Instrument/control panels and electronics are bounded functional control equipment, not a configured plant system.",https://news.lockheedmartin.com/2005-02-14-Lockheed-Martin-Awarded-Contract-for-Sonar-Upgrades-for-U-S-Navy-Submarines; https://news.lockheedmartin.com/2008-09-23-Lockheed-Martin-Awarded-Contract-to-Produce-Low-Cost-Conformal-Arrays-for-U-S-Navy; https://www.dote.osd.mil/Portals/97/pub/reports/FY2016/navy/2016arci.pdf?ver=2019-08-22-105302-370
MF1LU8RPCMB8,D9,"Large-scale precision welding, fabrication, and machining are the differentiating processes; no functional subsystem is disclosed.",https://www.ranor.com/; https://www.linkedin.com/company/ranor-inc.; https://manufacturing-today.com/news/ranor-inc/,P2,Precision welded/fabricated heavy metal submarine components are fit-ready fabricated articles.,https://www.techprecision.com/; https://www.techprecision.com/upload/Investor_file/Cover_page.pdf; https://www.esd.whs.mil/Portals/54/Documents/FOID/Reading%20Room/Selected_Acquisition_Reports/FY_2018_SARS/19-F-1098_DOC_68_Navy_SSBN_826_SAR_Dec_2018_REDACTED.pdf
MK9SR2K87JN5,D0,Long-haul trucking with undisclosed cargo provides no defensible technical or material ship domain.,https://www.landstar.com/; https://www.landstar.com/blog/landstar-s-commitment-to-national-defense-transportation/; https://www.sec.gov/Archives/edgar/data/853816/000119312517056249/d303717dex211.htm,P6,Long-haul transportation and logistics are service handoffs.,https://www.landstar.com/; https://www.landstar-agent.com/transportation-services-from-landstar-agent/; https://govtribe.com/vendors/landstar-system-inc-dot-landstar-7bu49
MKDGDE6K34N5,D9,"The known competence is Navy-qualified alloy casting of pump and valve or bearing components, so the casting process controls.",https://dwclark.com/industries/; https://dwclark.com/capabilities/,P1,Pump/valve-body alloy castings are near-net foundry outputs requiring downstream machining/assembly.,https://dwclark.com/; https://dwclark.com/industries/; https://dwclark.com/castings/
MMCKJNNMSG23,D9,Precision machining and high-specification fabrication are the firm’s differentiating competence; no complete functional system is identified.,https://www.advancemfg.com/; https://m.advancemfg.com/capabilities/group4/large-fabrication/; https://m.advancemfg.com/capabilities/group4/welding/,P2,Precision-machined and welded submarine components are fit-ready parts/assemblies for larger systems.,https://www.advancemfg.com/downloads/SOF-005-N-Supplier-Purchase-Order-Requirements-20250523.pdf; https://www.highergov.com/subcontract/N0002419C2125-PPF107-073/; https://govtribe.com/vendors/advance-mfg-dot-co-dot-inc-dot-29293
MSFLXVQVJMG4,D7,"Instrumentation, test equipment, control assemblies, and cable and power harnesses are component-level electronics and interconnect.",https://defense-solutions.curtisswright.com/peerless/about-us; https://www.highergov.com/subcontract/N0002417C2117-1000053252/,P0,"No defensible Columbia-specific delivered article is identified beyond mixed instrumentation, test equipment, and cabling leads.",https://www.highergov.com/subcontract/N0002417C2117-1000053252/; https://defense-solutions.curtisswright.com/peerless/about-us; https://curtisswright.com/organization/defense-electronics
