Subawardee UEI,Role / Description,Source URLs,NAICS-6 code,NAICS-6 title
GJNEBDUDNTA1,"This appears to be Columbia production infrastructure rather than installed shipboard hardware. Customs records associate Euro Machinery Specialists with delivery/service of large Innse-Berardi horizontal boring and milling centers for Electric Boat; those machines are used at Groton/Quonset to machine large submarine structures and mechanical components, although the specific Columbia part produced on them is not public.","https://www.importgenius.com/importers/general-dynamics-electric-boat
https://www.eximpedia.app/companies/general-dynamics-electric-boat/76212756
https://en.machinetools.camozzi.com/products/horizontal-machines/all-products/aries-vision.kl
https://en.camozzigroup.com/divisions/machine-tools/innse-berardi-spa.kl",811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance
F42BKS7EHCL8,"The exact Columbia unit is not disclosed. The best-supported inference is power-electronic equipment for the submarine’s advanced degaussing/magnetic-signature-control system—converters, current-regulation electronics, or spares that energize hull degaussing coils to cancel the boat’s magnetic field and reduce mine-detection vulnerability.","https://www.highergov.com/awardee/ems-development-corporation-10119694/
https://govtribe.com/vendors/ems-development-corporation-51435
https://www.navysbir.com/n19_2/N192-122.htm
https://www.escomaritime.com/",334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing"
G9HKMXL5L973,"A specific Columbia mount or filter is not publicly named. Oil States’ naval product line and earlier submarine supplier records point to elastomeric acoustic filters, shock mounts, and laminated bearings used under machinery or at piping/duct interfaces in machinery spaces to isolate pumps, motors, compressors, and other equipment from the hull and suppress structure-borne noise.","https://man.fas.org/dod-101/sys/ship/docs/930930-cr.htm
https://www.sec.gov/Archives/edgar/data/1121484/000095012311016353/h78391e10vk.htm
https://s202.q4cdn.com/891580743/files/doc_financials/2015/ar-15.pdf",326291,Rubber Product Manufacturing for Mechanical Use
WJ45NXW2TVD7,"Supplies electrohydraulic linear actuators used on Columbia to operate shipboard valves, throttles, weapons-system mechanisms, doors, and hatches.","https://www.moog.com/markets/defense/naval-systems.html
https://www.moog.com/products/actuators-servoactuators/defense/linear-actuators-for-naval-systems.html",333995,Fluid Power Cylinder and Actuator Manufacturing
E8LNMDLEKM35,"The exact Columbia heat exchanger is not publicly identified. DC Fabricators’ submarine specialty is large steam condensers, air ejectors, and other heat exchangers, making the strongest inference a main condenser/air-ejector or related secondary-steam-plant heat-transfer assembly in the engine room, where turbine exhaust is condensed and heat is rejected to seawater.","https://www.dcfab.com/
https://www.dcfab.com/products/military-applications/
https://www.dcfab.com/services/manufacturing-services/welding/
https://www.highergov.com/awardee/dc-fabricators-inc-10022240/",332312,Fabricated Structural Metal Manufacturing
JEP5GQGFPUL9,"The class-specific valve model and fluid circuit are not public. Portland Valve’s confirmed submarine product is Navy-qualified ship-service ball valves and specialty valves, which would be distributed through Columbia’s seawater, cooling, hydraulic, and other auxiliary piping systems to isolate and control fluid flow.","https://www.circor.com/news/circor-brand-portland-valve-announces-50-year-anniversary
https://www.circor.com/brands/portland-valve
https://www.highergov.com/subcontract/N0002417C2117-1000041536/",332911,Industrial Valve Manufacturing
E84NNWLU6RK3,Precision-machines valves for Columbia's naval nuclear-propulsion system. A disclosed subcontract under Bechtel Plant Machinery's Columbia-supporting propulsion contract lists Hamill's scope as valves.,"https://www.highergov.com/subcontract/N0002419C2115-C300348/
https://www.hamillmfg.com/defense",332710,Machine Shops
N79NY6FRL2F3,Manufactures Level I high-alloy main-seawater pipe fittings for Columbia. Custom Alloy states it is the sole-source manufacturer approved for Columbia-class Main Seawater Fittings.,https://customalloycorp.com/about-custom-alloy/,332996,Fabricated Pipe and Pipe Fitting Manufacturing
DA1PDLWQ7BH4,"This is non-shipboard digital-engineering support. Beast Code’s Beast Core/IPX tools provide an interactive 2D/3D digital-twin environment that combines geometry, drawings, documents, and metadata for Columbia space arrangement, construction planning, work instructions, and lifecycle support; the exact licensed module or workflow is not disclosed.","https://www.highergov.com/awardee/beast-code-llc-10107712/
https://www.sbir.gov/portfolio/680253
https://govtribe.com/vendors/beast-code-llc-742a2
https://www.beast-code.com/",513210,Software Publishers
HLVNZXU8EAM1,The strongest product match is the Static Automatic Bus Transfer (SABT) family. These solid-state switches sit in the ship-service electrical-distribution system and transfer mission-critical 440-V or 120-V loads from a normal source to an alternate source in less than one-quarter cycle; the exact Columbia rating and quantity are not public.,"https://www.l3harris.com/all-capabilities/static-automatic-bus-transfer
https://www.l3harris.com/all-capabilities/multi-class-static-automatic-bus-transfer
https://quicksearch.dla.mil/qsDocDetails.aspx?ident_number=217708",335311,"Power, Distribution, and Specialty Transformer Manufacturing"
Z89SS59265U9,Supplies power-conversion and magnetic components supporting Columbia's electric-drive propulsion system.,"https://www.espey.com/espey-mfg-electronics-corp-announces-new-29-5-million-contract-award-supporting-u-s-navys-columbia-class-submarine-program/
https://www.espey.com/products/military-power-systems-magnetics/",335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing
H11HD5VHGHN3,"A specific Columbia rack or array could not be confirmed. Lockheed Martin’s Liverpool/Syracuse undersea-warfare operation supports the AN/BQQ-10 Acoustic Rapid COTS Insertion common sonar architecture, so the subaward most likely covers sonar signal-processing/interface electronics or software connecting hull arrays to the sonar and combat system in the forward sonar/electronics spaces.","https://sam.gov/opp/508effa812531df5ff3456be55d45ea9/view
https://www.afcea.org/signal-media/lockheed-martin-produce-conformal-arrays
https://www.defenseindustrydaily.com/usa-upgrades-submarine-fleet-acoustics-under-arci-program-updated-01952/",334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"
LPWJLN5JQPW4,"Supplies a sequence of large, high-integrity steel castings for the Columbia program, then called the Ohio replacement program. Public reporting does not disclose the casting geometry or subsystem.","https://www.sheffieldforgemasters.com/news-and-insights/news/08/forgemasters-secures-us-defence-contacts-worth-30-million-dollars/
https://www.sheffieldforgemasters.com/news-and-insights/news/08/sheffield-forgemasters-wins-key-us-defence-contract/",Not confirmed,Not confirmed
NEGFNA8YS723,"Granite State Manufacturing has publicly said it received a new Columbia product but has not named it. The defensible description is a large, NAVSEA-qualified, precision-machined and welded mission-/life-critical submarine assembly—potentially a structural or equipment-support module—whose exact function and location remain nonpublic.","https://granitestatemfg.com/granite-state-manufacturing-secures-25-million-in-new-us-navy-contracts/
https://granitestatemfg.com/capabilities/
https://granitestatemfg.com/
https://www.globenewswire.com/news-release/2023/12/12/2794796/26844/en/granite-state-manufacturing-hosts-us-navy-admiral.html",339999,All Other Miscellaneous Manufacturing
GZ57A195G7K6,"The exact Columbia bearing is not disclosed. This engineering entity most likely performed design, analysis, and qualification of custom hydrodynamic thrust/journal bearings for a major rotating machine—most plausibly the electric-propulsion train or turbine-generator machinery in the aft engineering spaces—based on Waukesha’s naval bearing line and prior submarine main-thrust-bearing work.","https://www.waukbearing.com/en/industries/marine.html
https://man.fas.org/dod-101/sys/ship/docs/930930-cr.htm
https://www.highergov.com/subcontract/N0001413C0187-SNE101-071/
https://www.ussdc.org/boat/construction",541330,Engineering Services
CW48SQ7KJX68,"Public sources do not identify the exact Columbia assembly. Craft Machine Works’ relevant capability is final manufacture of large, tight-tolerance machined and complex-welded assemblies, so the subaward most likely covers a complete submarine machinery or structural/equipment-support assembly delivered for installation in a Columbia hull module; its precise location is unconfirmed.","https://www.highergov.com/awardee/craft-machine-works-inc-10032345/
https://www.highergov.com/subcontract/N0002417C2117-1000049723/
https://www.craftmachine.com/",336611,Ship Building and Repairing
WXRTZLL25AE5,Manufactures composite bow domes for Columbia-class submarines.,"https://mississippi.org/news/seemann-composites-inc-opens-bow-dome-production-facility-in-gulfport-to-support-new-u-s-navy-contract/
https://www.compositesworld.com/news/seemann-composites-opens-submarine-bow-dome-production-facility",325991,Custom Compounding of Purchased Resins
K3XPS1HXNBF3,"A Columbia part number could not be confirmed. B & F Machine’s defense work includes five-axis machining of cases, diffusers, shrouds, rings, linkages, brackets, and mounts; the best-supported inference is precision flow-path or support hardware for a pump/turbomachinery or other mechanical system in the boat’s machinery/auxiliary spaces.","https://www.highergov.com/awardee/b-f-machine-co-inc-12297239/
https://bfmachine.com/markets-served/
https://submarinesuppliers.org/wp-content/uploads/2020/03/CT.pdf",332710,Machine Shops
QCFDU4MA1444,"Constructs and expands Electric Boat production facilities used for Columbia manufacturing, including hull-fabrication/advanced-manufacturing buildings and missile-tube production infrastructure. This is shipyard infrastructure, not an onboard component.","https://www.a-zcorp.com/manufacturing/building-electric-boats-new-hull-fabrication-facility/
https://www.a-zcorp.com/announcements/az-breaks-ground-at-general-dynamics-electric-boat/",236210,Industrial Building Construction
HW4GNCTLLAM4,Fabricates bearing-support structures and related structural/propulsor demonstration hardware for Columbia's propulsor.,"https://www.ga.com/general-atomics-delivers-first-of-two-bearing-support-structures-for-columbia-class-submarines
https://www.ga.com/general-atomics-awarded-manufacturing-contract-for-columbia-class-submarine-bearing-support-structures
https://www.ga.com/ga-awarded-propulsor-demonstration-hardware-contract-delivery-order",332312,Fabricated Structural Metal Manufacturing
X6N2CNV552X7,"Manufactures Columbia hatches, fairings, hull inserts, and closure doors, and provides SUBSAFE structural fabrication and new-construction support.","https://www.oceaneering.com/marine-services/complex-structural-manufacturing/
https://www.oceaneering.com/marine-services/",336611,Ship Building and Repairing
MU3CM1145E44,"Supports installation, integration, and testing of Columbia's strategic fire-control system, including mechanical, electrical, and fiber-optic components.","https://bebee.com/us/jobs/shipyard-installation-and-test-specialist-progeny-systems-corporation-groton--lensa-2365_4dab2157fe83a565d40c53ee95a4f1822907a71a03a3df31481b8383cd6b4e3d
https://news.clearancejobs.com/2016/02/17/progeny-systems-awarded-submarine-combat-control-contract/",541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)"
DK14KTLXA9M5,"The exact Columbia fitting schedule is not public. KME supplies complex formed elbows, tees, reducers, flanges, and tube fittings in copper-nickel, stainless, and other corrosion-resistant alloys; these parts are installed throughout Columbia’s seawater, cooling, and ship-service piping to route and join pressure-boundary fluid lines.","https://kmetf.com/
https://govtribe.com/vendors/kme-america-marine-tube-fitting-llc-7a8g3
https://www.industrynet.com/listing/3666970/kme-america-marine-tube-fitting-llc",332919,Other Metal Valve and Pipe Fitting Manufacturing
TY25RCEB5FF3,"The evidence points primarily to construction support rather than an installed boat component. Collins & Jewell builds large weldment fixtures, custom submarine support structures, and heavy handling/assembly equipment for Electric Boat’s Groton and Quonset facilities; the specific Columbia fixture or support structure is not publicly named.","https://portal.ct.gov/OMA/In-the-News/2017-News/Sub-Suppliers-Sharing-In-EB-Boom
https://submarine.senedia.org/wp-content/uploads/2024/07/NESSP-Newsletter-June-2024.pdf
https://www.highergov.com/awardee/collins-jewell-company-inc-10458080/",332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
ZFNUGJEGR2Q9,"The one-time award pattern and company capability indicate Columbia production infrastructure, not shipboard hardware. Ingersoll most likely supplied a custom large-format milling/boring or automated manufacturing system used by Electric Boat to make large submarine structures, tooling, or mechanical components; neither the exact machine nor the Columbia part produced on it is public.","https://www.ingersoll.com/
https://www.govconinabox.com/explore/contractors/profile/ZFNUGJEGR2Q9
https://www.importgenius.com/importers/general-dynamics-electric-boat",333517,Machine Tool Manufacturing
PTMFLMD2CUB4,"Confirmed class-specific product family: L3Harris supplies integrated submarine communications-system shipsets for Virginia- and Columbia-class boats. The shipset comprises secure external/satellite and internal communications hardware, software, racks, and interfaces installed in the radio/communications spaces; the exact Camden-produced rack under the earlier subaward is not separately identified.","https://www.l3harris.com/newsroom/press-release/2026/02/l3harris-secures-full-rate-production-contract-us-navy-submarine
https://www.l3harris.com/all-capabilities/integrated-communications-solutions
https://www.l3harris.com/all-capabilities/symphony
https://www.highergov.com/awardee/l3-technologies-inc-10109684/",334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
LG88NCWJ3A95,Supplies desurgers and bladder-type surge arrestors used on Columbia fluid systems.,https://www.youngeng.com/defense/,332420,Metal Tank (Heavy Gauge) Manufacturing
D7HNEN3DAN36,"The exact Columbia forging is not publicly named. Lehigh Heavy Forge supplies super-heavy open-die shipbuilding forgings, including very long propulsion shafts and large rings; the subaward therefore most likely covers a high-integrity shaft, ring, or other major forging for the stern propulsion train or another pressure-/load-critical submarine assembly.","https://lhforge.com/productsmarkets/marine-equipment/
https://lhforge.com/about-us/who-we-are/
https://www.war.gov/News/Releases/Release/Article/3921637/department-of-defense-awards-15-million-to-increase-heavy-forge-production-capa/",332111,Iron and Steel Forging
F76KN7T9YP64,"The manufacturing entity most likely produced custom hydrodynamic thrust and/or journal-bearing assemblies for one of Columbia’s largest rotating machines—the electric propulsion motor, turbine-generators, or shaft line in the aft engineering spaces. Waukesha is a documented submarine main-thrust-bearing supplier, but the specific Columbia machine and bearing set remain undisclosed.","https://www.waukbearing.com/en/industries/marine.html
https://man.fas.org/dod-101/sys/ship/docs/930930-cr.htm
https://www.highergov.com/subcontract/N0001413C0187-PPE160-101/
https://www.ussdc.org/boat/construction",333613,Mechanical Power Transmission Equipment Manufacturing
UMQ8KHJJUBN6,"This is most likely shipyard production equipment rather than an onboard component. Koike supplies CNC plate-cutting systems, welding positioners, turning rolls, and manipulators used to rotate, align, cut, and weld very large hull/module fabrications; the exact Electric Boat workstation and Columbia assembly processed are not public.","https://www.koike.com/
https://www.highergov.com/awardee/koike-aronson-inc-10282798/
https://sam.gov/workspace/contract/opp/62f554ac24e242a3bc91e2574e167254/view",333992,Welding and Soldering Equipment Manufacturing
WREEAHYMRQ45,"The specific Columbia installation versus test use cannot be confirmed. PCB supplies low-noise, internally amplified accelerometers tied in Navy records to Electric Boat drawings; these sensors measure vibration and acoustic signatures on machinery and hull structures during quieting, production acceptance, and sea trials, and may also support onboard condition monitoring.","https://www.gao.gov/products/b-254046
https://app.govly.com/public/opportunities/16664799
https://www.pcb.com/
https://www.highergov.com/awardee/pcb-piezotronics-inc-10113566/",334419,Other Electronic Component Manufacturing
Y7N4SPXNK115,The exact Columbia steel grade and plate location are not public. The strongest inference is high-strength heavy plate from the former ArcelorMittal Burns Harbor operation for the pressure hull and other major structural members; that mill supplies military/shipbuilding plate and its steel has previously been documented throughout a Virginia-class submarine hull.,"https://www.clevelandcliffs.com/operations/steelmaking/burns-harbor-plate-and-gary-plate
https://www.manufacturing.net/home/news/13193020/steel-made-at-northwest-indiana-factory-used-in-navy-vessels
https://www.in.gov/idem/cleanwater/lake-michigan-sites-of-interest/cleveland-cliffs-gary-plate/",331110,Iron and Steel Mills and Ferroalloy Manufacturing
PAH8M4BJACA5,Supplies Level I/SUBSAFE electrical hull penetrators that route transmitter cables through the Columbia pressure hull.,https://www.highergov.com/contract-opportunity/electric-hull-penetrator-ehp-new-large-idiq-lev-n6449826r0526-o-16527/,334417,Electronic Connector Manufacturing
MKDGDE6K34N5,"A specific Columbia casting could not be confirmed. The best-supported inference is high-integrity 70/30 copper-nickel or other alloy castings for seawater-system pump/valve bodies, with possible rotating-machinery bearing components; D. W. Clark is an approved Navy casting source and has prior SSBN bearing-casting work.","https://dwclark.com/industries/
https://www.hii.com/documents/nns-approved-cuni-foundries
https://www.nffs.org/ar23-icon
https://www.highergov.com/awardee/d-w-clark-inc-10030368/",331513,Steel Foundries (except Investment)
NSWQJBEZZD83,"Confirmed service: Team Submarine selected Sopheon’s Accolade enterprise innovation and new-product-development platform. It supports strategic planning, technology roadmaps, project/portfolio governance, and resource planning across submarine programs including Columbia; it is shore-based program-management software, not equipment installed on the boat.","https://www.globenewswire.com/news-release/2022/08/16/2499188/0/en/sopheon-and-team-submarine-agree-to-five-year-agreement.html
https://www.sopheon.com/
https://www.highergov.com/awardee/sopheon-corporation-503726865/",513210,Software Publishers
N5KMLMXEPFM5,"The UEI maps to Parker’s Village Marine Tec water-purification operation in Carson, California. The best-supported Columbia deliverable is a reverse-osmosis seawater desalination/watermaker package—high-pressure pumps, membranes, controls, and service parts—installed in an auxiliary machinery space to produce potable water; the exact model and capacity are not public.","https://sam.gov/opp/88d17c4fe435aa62e2ec2f295048f18e/view
https://sam.gov/opp/1ea32c0a37db4316a72b13159e326f71/view
https://www.parker.com/us/en/divisions/water-purification/industries/government.html
https://www.parker.com/content/dam/Parker-com/Literature/Water-Purification/Village-Marine/Defense/7845mil.bro09.lr.pdf",333310,Commercial and Service Industry Machinery Manufacturing
PUG1H9MFJD63,"The strongest class-specific linkage is to the Columbia propulsor forward subassembly. American Tank & Fabricating most likely forms and welds heavy plate components or supporting structures for that pump-jet assembly at the stern, but the public contract data do not expose the exact plate part, drawing, or subassembly element.","https://www.highergov.com/contract/N0016723D0004-N0016723F0035/
https://www.highergov.com/subcontract/N0002417C2117-1000035514/
https://www.highergov.com/awardee/the-american-tank-fabricating-company-10244797/",332313,Plate Work Manufacturing
Z19UP1U6FMT1,"This is shipyard-production support, not installed submarine hardware. Industrial Transfer & Storage, now part of MEI, provides heavy rigging, project transport, storage, millwrighting, and precision installation/alignment of large CNC machines and facility equipment at Quonset/Groton; the exact Columbia-production machine moved under the subaward is not disclosed.","https://meiindustrialsolutions.com/location/providence/
https://www.linkedin.com/company/industrial-transfer-%26-storage
https://whatsupnewp.com/2021/07/more-than-20-companies-will-participate-in-quonset-business-parks-job-fair-on-july-9/",238290,Other Building Equipment Contractors
GTP8S87MBPF3,"No installed Columbia component could be substantiated. Greenland’s documented work is design-build construction of energy and utility infrastructure—HVAC, chilled-water/steam piping, controls, and building retrofits—so the subaward most likely funded a shipyard or mission-critical-facility utility project supporting Columbia production at Electric Boat or Newport News.","https://greenlandenterprises.com/
https://www.highergov.com/awardee/greenland-enterprises-inc-664740158/
https://www.highergov.com/subcontract/N0002417C2117-SNE090-037/",236220,Commercial and Institutional Building Construction
JAXJSTJJSP74,"These subawards sit under Office of Naval Research submarine science-and-technology contracts rather than production hardware buys. The best-supported role is advanced modeling, simulation, sensing/acoustics, networking, or autonomous-payload engineering intended to mature concepts for transition to Virginia and Columbia; the exact BBN work package and any eventual onboard system cannot be confirmed.","https://www.highergov.com/subcontract/N0001419C1002-SNF019-026/
https://www.highergov.com/subcontract/N0001419C1002-1000055031/
https://www.highergov.com/subcontract/N0001413C0187-SNE091-032/
https://www.highergov.com/subcontract/N0001413C0187-SNE113-048/",541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)"
G319AMB56SW5,"The exact Columbia cabinet assignment is not public. Curtiss-Wright/901D supplies shock-, vibration-, and EMI-qualified naval electronics cabinets, enclosures, and operator consoles; these house combat, control, communications, or auxiliary electronics in Columbia’s control/electronics spaces, with Navy notices specifically identifying ACST cabinets from this source.","https://www.highergov.com/awardee/901-d-llc-10107588/
https://www.curtisswrightds.com/products/901d-rugged-enclosures-consoles
https://sam.gov/opp/358839639f8340b5a988dbd1b2d7bc02/view
https://sam.gov/opp/5a52a2da6be44095adf68c7d36cfe1fa/view",332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
MK9SR2K87JN5,Provides long-haul truckload transportation and logistics for Columbia construction. The specific cargo carried is not publicly disclosed.,"https://www.highergov.com/awardee/landstar-inway-inc-10419543/
https://www.landstar.com/transportation-solutions/",484121,"General Freight Trucking, Long-Distance, Truckload"
FMC8BKMNMKF2,"A particular Columbia filter model and fluid circuit are not public. Fluid Conditioning Products makes cleanable all-metal mesh/coalescing filter and strainer elements qualified for Navy SUBSAFE Level I service, making the likely deliverable pressure-boundary filtration for seawater, hydraulic, lubricating-oil, fuel, or another critical machinery-space fluid system.","https://www.fcp-filters.com/blog/aerospace-and-defense-industry-2022/
https://sam.gov/opp/7fde4ace95894c2b9ac6cc13b5e94bb0/view
https://www.fcp-filters.com/",339999,All Other Miscellaneous Manufacturing
HSV2N9ACRTJ6,"The exact Columbia valve tag and circuit are not publicly disclosed. Emerson’s Mansfield Navy product operation supplies pressure-/safety-relief, control, and angle valves; these protect submarine piping and equipment from overpressure and regulate flow in machinery and auxiliary systems.","https://www.highergov.com/awardee/emerson-automation-solutions-final-control-us-lp-10109259/
https://sam.gov/opp/ab6d429b6c1c4aa685edc7db544ffbc7/view
https://www.highergov.com/nsn/4820015115479/",332911,Industrial Valve Manufacturing
MF1LU8RPCMB8,"Provides large-scale precision welding, fabrication, and machining of heavy metal components for Virginia- and Columbia-class submarine programs. Public sources do not disclose the exact Columbia part.","https://www.techprecision.com/
https://www.sec.gov/Archives/edgar/data/1328792/000141057825001537/tpcs-20250331x10k.htm",332313,Plate Work Manufacturing
WESDY4U81NP8,"Manufactures specialized alloy forgings, custom fittings, and pipe for naval and defense applications. As successor to Custom Alloy's High Bridge operation, it continues the fitting/forging business; public sources do not separately identify which post-acquisition Columbia fitting each subaward covers.","https://www.tridentllc.com/location-high-bridge-manufacturing
https://www.jflco.com/news-article/153/trident-maritime-systems-acquires-assets-of-custom-alloy-corporation",332996,Fabricated Pipe and Pipe Fitting Manufacturing
GLRVV6FC6DB3,Develops and administers workforce training and learning content for Electric Boat personnel building Virginia- and Columbia-class submarines.,"https://newhaven.academia.edu/JeanineDeFalco/CurriculumVitae
https://www.gpstrategies.com/news/gp-strategies-earns-12-brandon-hall-hcm-excellence-awards/",611430,Professional and Management Development Training
DXM3GSLGH2Z5,"Public sources confirm that Fairlead supplies shipboard integrated parts for Virginia- and Columbia-class submarines but do not name this assembly. Based on its nuclear-shipbuilding capabilities, the best-supported inference is a precision-fabricated/machined mechanical subassembly, machinery support/skid, or integrated power/control structure installed in a Columbia machinery or electrical module; the exact item remains unconfirmed.","https://www.virginiashiprepair.org/MemberProfile/425/Fairlead-Integrated-LLC
https://virginiabusiness.com/propulsion-system/
https://fairlead.com/
https://www.highergov.com/subcontract/N0002417C2117-1000008335/",336611,Ship Building and Repairing
CXK2Y51KDBW1,"The best public evidence identifies PRL as a Columbia supplier of critical cast pump and valve components. PRL pours, heat-treats, machines, and nondestructively tests high-integrity bodies and other cast parts used in the boat’s seawater, cooling, hydraulic, and other machinery/auxiliary fluid systems; the exact pump/valve model is not public.","https://lebtown.com/2022/03/07/prl-will-replace-ore-crusher-building-expand-navy-manufacturing-operations/
https://www.prlinc.com/
https://www.prlinc.com/facilities/
https://bigelowllc.com/transaction-experiences/bigelow-advises-prl-inc-on-its-recapitalization-by-compass-partners-capital-llc/",331513,Steel Foundries (except Investment)
WYDAKCJ5K219,Supplies electrical generators for Columbia-class submarines. Curtiss-Wright’s Electro-Mechanical Division received Columbia-specific generator-production contracts valued at approximately $120 million.,https://curtisswright.com/news/press-releases/news-release-details/2022/Curtiss-Wright-Receives-Contracts-Valued-at-120-Million-to-Support-U.S.-Navys-Columbia-Class-Submarine-Program,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
Y6X3BDLEPNJ6,"Fabricated large steel structures and modules for Columbia-class submarine construction at its Goose Creek, South Carolina facility. After HII acquired the operation, the same facility and legacy workforce were identified as producing Columbia auxiliary machinery-room and weapons modules.","https://www.sccommerce.com/news/hii-selects-berkeley-county-establish-its-first-south-carolina-operation
https://virginiabusiness.com/newport-news-shipbuildings-south-carolina-manufacturing-facility-is-up-and-running/
https://news.usni.org/2025/01/27/hii-completes-aqusition-of-w-international-assets",336611,Ship Building and Repairing
