Key,Program,Subawardee UEI,Subawardee Vendor Name,Primary NAICS-6,NAICS-6 Description,Parent UEI,Parent Vendor Name,Parent UEI(s),Role / Description,Source URLs
DDG|VJMTKNLENX24,DDG,VJMTKNLENX24,ENGINEERED COIL COMPANY,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,W8PTMRME1496,LEONARDO SPA,E57FS3E4CQ19; W8PTMRME1496,"Engineered Coil Company is Leonardo DRS’s Marlo Coil operation in High Ridge, Missouri. It manufactures custom Navy and marine heat-transfer equipment—evaporator and condenser coils, air coolers, and other HVAC/refrigeration coils—for shipboard environmental-control systems; the public record does not identify the exact DDG-51 coil assembly.","https://www.highergov.com/awardee/engineered-coil-company-10113359/
https://www.leonardodrs.com/what-we-do/products-and-services/navy-and-marine-coils/
https://www.leonardodrs.com/locations/naval-power-systems-marlo-heat-transfer-solutions-high-ridge-mo/"
DDG|Z89SS59265U9,DDG,Z89SS59265U9,ESPEY MFG. & ELECTRONICS CORP.,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,Z89SS59265U9,ESPEY MFG. & ELECTRONICS CORP.,Z89SS59265U9,"Supplies DDG-51 electrical power electronics, transformers and power-distribution/protection equipment. Espey identifies DDG-51 products such as ship-service transformers, transformer step-start equipment, high-resistance grounding transformers, static-switch systems and AN/SPY-6-related cabinets/components, supported by its military power-systems and magnetics manufacturing capability.",https://www.espey.com/products/integrated-power-systems/; https://www.espey.com/products/military-power-systems-magnetics/; https://www.espey.com/
DDG|CFXRGJSB9UB6,DDG,CFXRGJSB9UB6,"SPD ELECTRICAL SYSTEMS, INC",335313,Switchgear and Switchboard Apparatus Manufacturing,XXP4PLFFFGK9,"L3 TECHNOLOGIES, INC.",DTZJAQF8NZA1; SJULQDJ8NZU7; XXP4PLFFFGK9,"SPD Electrical Systems in Camden, New Jersey manufactures shock-hardened naval circuit breakers, switchgear, and power-distribution equipment. Its DDG-51 role is electrical protection and distribution hardware, distinct from L3Harris’s Tulsa switchboard assembly and Anaheim transformer businesses.","https://www.highergov.com/awardee/l3harris-maritime-power-energy-solutions-inc-10107022/
https://www.l3harris.com/all-capabilities/air-circuit-breaker-4012
https://govtribe.com/vendors/spd-electrical-systems-inc-dot-30086"
DDG|SSD8KRDXKG46,DDG,SSD8KRDXKG46,"HILLER COMPANIES, INC., THE",238210,Electrical Contractors and Other Wiring Installation Contractors,GGSLGRB5KXM6,Pon Holdings B.V.,GGSLGRB5KXM6; MX63C2VRKCJ6; ZXMJM9MBXBQ4,"Provides marine fire-protection equipment and engineering. A Hiller-approved 1½-inch stop-check valve is specifically identified as a component of the Halon fire-extinguishing system on DDG-51 through DDG-58; Hiller also designs, installs, and services shipboard detection and suppression systems.","https://www.lqlite.com/NSN/4820-01-449-2993
https://hillerfire.com/applications/marine-fire-protection/"
DDG|WUDSRNBSYC17,DDG,WUDSRNBSYC17,"ERIE FORGE AND STEEL, INC.",336611,Ship Building and Repairing,,,,"Supplies large forged marine propulsion/stern shafting for Navy ships. Erie Forge & Steel describes forged steel marine propulsion shafts for U.S. Government/Navy customers, and public contract records identify a Navy DDG-51 stern-shaft item associated with Erie Forge and Steel.",https://www.erieforge.com/; https://www.whemco.com/who-we-are/erie-forge-steel/; https://www.federalcompass.com/award-contract-detail/N0010422CZA16
DDG|HLVNZXU8EAM1,DDG,HLVNZXU8EAM1,POWER PARAGON INC,335311,"Power, Distribution, and Specialty Transformer Manufacturing",DTZJAQF8NZA1,"L-3 Communications Holdings, Inc.",DTZJAQF8NZA1,Supplies solid-state frequency/power-conversion equipment and related power-distribution magnetics. Its ACFC-288 converts 60-Hz ship-service power to 400 Hz for AEGIS equipment on DDG-51-class ships.,"https://www.marinelink.com/news/paragon-power-wins323122
https://www.parttarget.com/5950-01-497-9464_5950014979464_LW1931-5-P-N-24972GS.html
https://www.highergov.com/awardee/power-paragon-inc-10119793/
https://www.census.gov/naics/?details=33&input=33&year=2022"
DDG|JRUCKDSNXKD5,DDG,JRUCKDSNXKD5,"ENTWISTLE COMPANY, THE",333998,All Other Miscellaneous General Purpose Machinery Manufacturing,LNGAZMTYJPL3,The Entwistle Trust,LNGAZMTYJPL3,Supplies retractable mooring bitts for DDG-51 construction. The Navy identified Entwistle as the original-equipment manufacturer and sole authorized manufacturer for these long-lead deck-machinery items.,https://govtribe.com/opportunity/federal-contract-opportunity/fy-13-17-uss-arleigh-burke-ddg-51-class-guided-missile-destroyers-construction-n0002412r2316
DDG|QKJUKKE5WPA8,DDG,QKJUKKE5WPA8,GULF COPPER & MANUFACTURING CORPORATION,336611,Ship Building and Repairing,,,,"Fabricates outfitted structural units, hull modules and other DDG-51 structural components for distributed shipbuilding work supporting HII/Ingalls DDG-51 construction. Public sources describe Gulf Copper work building select outfitted structural units and Navy destroyer structural components in Texas facilities.",https://www.hii.com/news/at-sea-air-space-2026-hii-celebrates-manufacturing-job-creation-expansion-of-us-shipbuilding-industrial-base; https://www.beaumontbusinessjournal.com/local/gulf-copper-awarded-additional-work-production-us-navy-destroyers; https://dredgewire.com/galveston-shipyard-announces-deal-to-build-navy-destroyers/; https://www.thegalveston.org/article/gulf-copper-expands-defense-work-to-build-navy-destroyer-components-in-galveston-and-port-arthur; https://www.gulfcopper.com/
DDG|LM35HWEVUPH3,DDG,LM35HWEVUPH3,"ADI TECHNOLOGIES, INC.",541613,Marketing Consulting Services,KN4DLHTLNCS8,"J.F. Lehman & Company, Inc.",KN4DLHTLNCS8,"ADI Technologies is a procurement/technical-services company rather than a ship-component manufacturer. Navy notices tied to this UEI show it furnishing a quick-acting watertight door for USS Preble (DDG-88), so its concrete role is sourcing that closure assembly rather than manufacturing the broader parent’s interior systems.","https://www.highergov.com/awardee/adi-technologies-inc-10020267/
https://sam.gov/opp/4acc8c0fc4e04147a67878ad561012a5/view
https://sam.gov/opp/a02f9303750f454490b37ca0791d39c9/view"
DDG|M4ELQDG7JLM5,DDG,M4ELQDG7JLM5,"BUFFALO PUMPS, INC.",333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",XE6GMDJNHQT7,Ampco-Pittsburgh Corporation,XE6GMDJNHQT7,Supplies centrifugal pumps and OEM parts/overhaul support for DDG-51 shipboard fluid systems. A Navy solicitation identifies Buffalo DH6080D-series centrifugal pumps for the Arleigh Burke class.,"https://sam.gov/opp/3e26ac5601c041bcb67336748451b382/view
https://www.businesswire.com/news/home/20220922005746/en/Fairbanks-Morse-Defense-Teams-with-Buffalo-Pumps-to-Expand-Pump-Service-Capabilities"
DDG|KCYPSYNH1M94,DDG,KCYPSYNH1M94,US JOINER LLC,336611,Ship Building and Repairing,KN4DLHTLNCS8,"J.F. Lehman & Company, Inc.",KN4DLHTLNCS8,"US Joiner fabricates and installs naval joiner systems such as non-structural bulkheads, doors, modular berths/furnishings, and fire-rated interior barriers. These are ship-interior and habitability construction products, distinct from Trident’s HVAC and IMECO’s machinery/electrical integration work.","https://www.highergov.com/awardee/us-joiner-llc-10418343/
https://www.sbir.gov/awards/120958
https://www.usjoiner.com/"
DDG|HLE1E2KALJA5,DDG,HLE1E2KALJA5,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC",335311,"Power, Distribution, and Specialty Transformer Manufacturing",SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC.",PNE9R5EJMWK8; SJULQDJ8NZU7,"The Anaheim L3Harris Maritime Power & Energy Solutions entity manufactures naval power and distribution equipment, with its registered industry focused on specialty transformers. Public sources do not isolate the exact transformer or power package supplied to the DDG-51 program under this UEI.","https://www.highergov.com/awardee/l3harris-maritime-power-energy-solutions-inc-10112324/
https://www.l3harris.com/all-capabilities/maritime-power-and-energy-solutions"
DDG|XYNDM1Y7XGG7,DDG,XYNDM1Y7XGG7,AMERICAN METAL BEARING COMPANY,332991,Ball and Roller Bearing Manufacturing,PM2FDF7CCNC2,"MARISCO, LTD.",PM2FDF7CCNC2; XYNDM1Y7XGG7,"Supplies propulsion bearing systems for Arleigh Burke-class destroyers. AMB lists the class among vessels equipped with its systems; its naval product line includes line-shaft, stern-tube, strut, and thrust bearings.",https://www.ambco.net/bearing-propulsion-systems
DDG|N5KMLMXEPFM5,DDG,N5KMLMXEPFM5,PARKER HANNIFIN CORPORATION,333310,Commercial and Service Industry Machinery Manufacturing,W138B61KN3Q7,PARKER-HANNIFIN CORPORATION,N5KMLMXEPFM5; W138B61KN3Q7,"Through Parker Village Marine, supplies MIL-SPEC reverse-osmosis desalination and water-purification systems installed on Arleigh Burke-class destroyers. The systems produce potable water and high-purity permeate for shipboard use.",https://www.parker.com/content/dam/Parker-com/Literature/Water-Purification/Village-Marine/Defense/7845mil.bro09.lr.pdf
DDG|J645RTMFWMW1,DDG,J645RTMFWMW1,"MAXIM EVAPORATORS OF AMERICA, LLC",339999,All Other Miscellaneous Manufacturing,,,,"Supplies heat-recovery evaporators/fresh-water generators that desalinate seawater into potable water. DDG-51 construction subawards cite the Maxim evaporator purchase specification, although public records do not expose the exact commercial model.","https://www.highergov.com/subcontract/N0002423C2307-1295394-1/
https://www.highergov.com/subcontract/N0002418C2307-17990-0/
https://www.fairbanksmorsedefense.com/solutions/water-treatment-systems/heat-recovery-evaporators/"
DDG|YELYMYLF82L9,DDG,YELYMYLF82L9,"LAKE SHORE SYSTEMS, INC.",336611,Ship Building and Repairing,EZN9VQG18FN1,OLDENBURG GROUP V2 GSM SPON,EZN9VQG18FN1; YELYMYLF82L9,"Supplies the DDG-51 class slewing-arm boat-davit system and associated replacement/overhaul kits. A Navy award for USS Stockdale (DDG-106) identifies Lake Shore as the OEM for the installed slewing-arm davit, part number 56W4-S100.",https://www.highergov.com/contract-opportunity/uss-stockdale-ddg-1-n5523621r0014-award-n5523621c0011-lake-shore-systems-inc-c7ee1/
DDG|WSK3WRSGKAU1,DDG,WSK3WRSGKAU1,ALFA LAVAL INC.,332410,Power Boiler and Heat Exchanger Manufacturing,SQRKBV7ET8S9,Alfa Laval AB,CKNVB8P26F26; SQRKBV7ET8S9,Supplies self-cleaning disk-stack centrifugal fuel purifiers used to remove water and solids from DDG-51 fuel-transfer streams. The DDG subaward is recorded under fuel-system purchase specification 541-10B.,"https://www.highergov.com/subcontract/N0002423C2307-14838-0/
https://www.parttarget.com/4930-01-118-1264_4930011181264_38467.html
https://www.scribd.com/document/340313779/S9086-SN-STM-010-Ch-541-Ship-Fuel-and-Fuel-Systems-Rev-9"
DDG|FCK2D4PSV1L2,DDG,FCK2D4PSV1L2,DOVER PUMPS & PROCESS SOLUTIONS SEGMENT INC,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",FCK2D4PSV1L2,DOVER PUMPS & PROCESS SOLUTIONS SEGMENT INC,FCK2D4PSV1L2; JBMKQ8ZH6FN9,Supplies Blackmer rotary/hand pumps and related pump hardware for DDG-51. Public Navy item data also identifies a Blackmer relief-valve kit for the class’s aqueous-film-forming-foam firefighting pump.,"https://govtribe.com/vendors/dover-energy-inc-dot-blackmer-pump-07524
https://www.lqlite.com/NSN/4820-01-508-7401"
DDG|JW6PXX1WALN4,DDG,JW6PXX1WALN4,HOWDEN NORTH AMERICA INC,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,FPCZK4D8LXU5,KPS CAPITAL PARTNERS LP,F1RLRDZK2KC9; FPCZK4D8LXU5; L8T4R3N7ACL6,"Through its HAF Navy Market/Howden American Fan business, supplied DDG-51 cooling and ventilation fans, including gas-turbine-room blowers, collective-protection-system fans, and vane-axial/centrifugal fans. Fairbanks Morse Defense acquired American Fan in 2023 and now supplies the same product line on Flight III destroyers.","https://www.highergov.com/awardee/howden-north-america-inc-10110890/
https://www.fairbanksmorsedefense.com/blog/fairbanks-morse-defense-expands-product-portfolio-with-american-fan-acquisition/
https://www.fairbanksmorsedefense.com/blog/fairbanks-morse-defenses-american-fan-awarded-contracts-for-u-s-navy-ddg-cooling-and-ventilation-equipment/"
DDG|F42BKS7EHCL8,DDG,F42BKS7EHCL8,EMS DEVELOPMENT CORPORATION,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",SCWYXXK1EM13,ULTRA ELECTRONICS HOLDINGS PLC,SCWYXXK1EM13,"The DDG-128/129 construction subaward is labeled “TMR rebuy ES012 10451,” but the public record does not expand TMR or identify the exact equipment. EMS manufactures naval power-conversion/degaussing electronics, transformers, and power supplies; a specific product-to-subaward match could not be confirmed.","https://www.highergov.com/subcontract/N0002418C2307-11155-0/
https://govtribe.com/vendors/ems-development-corporation-51435"
DDG|FGNQE3RF1FK5,DDG,FGNQE3RF1FK5,"MORPAC INDUSTRIES, INC.",332911,Industrial Valve Manufacturing,FGNQE3RF1FK5,"MORPAC INDUSTRIES, INC.",FGNQE3RF1FK5,Supplies shipboard butterfly/gate valve assemblies and replacement parts for DDG-51 piping systems. Public NSN data identifies Morpac butterfly valves with the Arleigh Burke class as an end item.,"https://www.parttarget.com/Morpac-Industries-Inc_nsn-parts_10003_10008-5.html
https://www.highergov.com/subcontract/N0002423C2307-2608-0/"
DDG|V1MQFNQB56Z5,DDG,V1MQFNQB56Z5,RIX INDUSTRIES,333912,Air and Gas Compressor Manufacturing,V1MQFNQB56Z5,RIX INDUSTRIES,V1MQFNQB56Z5,"Supplies STAR-200 high-pressure air compressors for DDG-51 Flight III ships, supporting shipboard compressed-air requirements.",https://www.rixindustries.com/rix-awarded-ddg-51-flight-iii-compressor-contract-successor-new-large-surface-combatant-program
DDG|MC77SUMRLXY5,DDG,MC77SUMRLXY5,"MILWAUKEE VALVE COMPANY, INC.",332911,Industrial Valve Manufacturing,MC77SUMRLXY5,"MILWAUKEE VALVE COMPANY, INC.",JJMSRWKWWQ87; MC77SUMRLXY5,"Supplies Navy-qualified gate, globe, check/swing-check, and ball valves for DDG-51 fluid piping. Public item records identify Milwaukee swing-check valves specifically used on the class.","https://www.milwaukeevalve.com/product-category/marine-valves/
https://www.lqlite.com/NSN/4820-01-479-9583
https://www.parttarget.com/4820-01-479-8507_4820014798507_1305-034-4IN.html"
DDG|QNF5KM7YJSN7,DDG,QNF5KM7YJSN7,"SOUTHCOAST WELDING & MANUFACTURING, LLC.",336611,Ship Building and Repairing,,,,"Performs welding/fabrication, ship-repair, and warranty work on DDG-51-class ships. Public records tie Southcoast to DDG construction warranty support and to repair work on USS Fitzgerald (DDG-62), but do not disclose a specific construction component in the listed subaward.","https://app.govly.com/public/awards/CONT_AWD_N0002413C2307_9700_-NONE-_-NONE--9525847d93f56c151e57441d5b733f7a
https://govtribe.com/award/federal-contract-award/delivery-order-n0002422d4472-n5523625f5002"
DDG|LR2HQKYJLDZ7,DDG,LR2HQKYJLDZ7,ESI ACQUISITION CORP.,423830,Industrial Machinery and Equipment Merchant Wholesalers,LR2HQKYJLDZ7,ESI ACQUISITION CORP.,LR2HQKYJLDZ7; NYPLGL4BKTS7,"Supplies/distributes and repairs naval valve and actuator hardware under the J.A. Moody name. Public item data links an ESI valve assembly to the Arleigh Burke class, but the exact valve or actuator covered by this DDG construction subaward is not publicly identified.","https://jamoody.com/proud-to-be-iso-9001-certified-since-2014/
https://www.parttarget.com/4820-01-311-4989_4820013114989_478-819-060-414-MAA.html
https://www.govchime.com/market-intelligence/awards/CONT_AWD_N0010424PLB80_9700_-NONE-_-NONE-/"
DDG|JEP5GQGFPUL9,DDG,JEP5GQGFPUL9,PORTLAND VALVE LLC,332911,Industrial Valve Manufacturing,U45EH8WMNF55,"Circor International, Inc.",L8T4R3N7ACL6; U45EH8WMNF55,"Portland Valve manufactures Navy ship-service ball valves and other specialty valves used on destroyers, submarines, and carriers. For DDG-51 construction, this entity’s distinct contribution is valve hardware for shipboard fluid systems, although the exact valve list is not public.","https://www.highergov.com/awardee/portland-valve-llc-10110208/
https://www.circor.com/news/circor-brand-portland-valve-announces-50-year-anniversary
https://www.circor.com/brands/portland-valve"
DDG|KNEFNMWXBK39,DDG,KNEFNMWXBK39,JO-KELL INC.,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",KNEFNMWXBK39,JO-KELL INC.,KNEFNMWXBK39,"Supplies electrical-distribution hardware, including circuit breakers for DDG-51 weapons systems and shore-power cable adapters used on the class.","https://www.war.gov/News/Contracts/Contract/Article/4186522/contracts-for-may-14-2025/
https://www.parttarget.com/5970-01-513-2491_5970015132491_BSFP500.html"
DDG|Q35JL9GFCAK3,DDG,Q35JL9GFCAK3,"MAROTTA CONTROLS, INC.",332912,Fluid Power Valve and Hose Fitting Manufacturing,Q35JL9GFCAK3,"MAROTTA CONTROLS, INC.",Q35JL9GFCAK3,Supplies engineered fluid-control valves and manifolds for DDG-51 shipboard systems; Marotta identifies itself as a major valve/manifold supplier to the class.,"https://marotta.com/about/
https://www.highergov.com/subcontract/N0002423C2307-17313-0/"
DDG|G78MQ69BN636,DDG,G78MQ69BN636,AIRCRAFT APPLIANCES AND EQUIPMENT LIMITED,332420,Metal Tank (Heavy Gauge) Manufacturing,KN4DLHTLNCS8,"Octopus Industries, Inc.",KN4DLHTLNCS8,"Aircraft Appliances and Equipment Limited manufactures military pressure switches, control panels, power panels, and related electromechanical equipment. Public Navy notices confirm those product types for this entity, but do not identify the precise DDG-51 assembly represented by the subaward.","https://www.highergov.com/awardee/aircraft-appliances-and-equipment-limited-10112412/
https://sam.gov/opp/ab1bc239619d7f4eef7823e021a97364/view
https://sam.gov/workspace/contract/opp/7d8cedc59c074af170e8c6435f4d4c5a/view"
DDG|MEMSWT1LFU18,DDG,MEMSWT1LFU18,JERED LLC,332312,Fabricated Structural Metal Manufacturing,UZKRMH51VMJ5,"PAR SYSTEMS, INC.",C6CLJKP7D441; UZKRMH51VMJ5,Supplies the DDG-51 helicopter-hangar door system and replacement components. Jered’s electrically driven folding NAVTRUSS-panel doors are installed on the class and are qualified to Navy Grade A shock requirements.,https://www.jered.com/products/specialty-access-sideport-shell-doors/
DDG|SKKACASET588,DDG,SKKACASET588,DYNALEC CORPORATION,334290,Other Communications Equipment Manufacturing,SKKACASET588,DYNALEC CORPORATION,PU6TDFGSJQA3; SKKACASET588,"The DDG subaward is under electrical/communications purchase specification 431-01C. Dynalec manufactures rugged shipboard communications, navigation, and switching equipment—especially sound-powered telephone/communications systems—but the exact unit in this subaward is not publicly disclosed.","https://www.dynalec.com/
https://www.highergov.com/subcontract/N0002423C2307-17264-0/"
DDG|U23DM4ULNLS3,DDG,U23DM4ULNLS3,BAE SYSTEMS JACKSONVILLE SHIP REPAIR LLC,336611,Ship Building and Repairing,HPDLRXR4FYX5,BAE SYSTEMS PLC,HPDLRXR4FYX5,Supplies Mk 45 Mod 4 5-inch/62-caliber naval gun systems for new-construction DDG-51 destroyers. BAE Systems public materials state Mk 45 gun systems are to be installed on new-construction Arleigh Burke/DDG-51 destroyers and describe the Mod 4 naval gun system.,https://www.baesystems.com/en/article/257-million-contract-awarded-to-produce-mk-45-gun-systems-for-the-us-navy; https://www.baesystems.com/en/product/mk-45-mod-4-naval-gun-system; https://www.highergov.com/contract/N0017419C0004/
DDG|HUK5MJK4MH39,DDG,HUK5MJK4MH39,"LESLIE CONTROLS, INC.",332911,Industrial Valve Manufacturing,GU5YDKH7GPF1,KKR & CO INC,GU5YDKH7GPF1; N9UNRN3F79J1; U45EH8WMNF55,"Leslie Controls manufactures severe-service regulating and control valves, pressure-reducing valves, and fluid-control systems. Its DDG-51 role is shipboard control-valve hardware; the public record does not identify the particular valve or service supplied under this UEI.","https://www.highergov.com/awardee/leslie-controls-inc-10109971/
https://www.circor.com/brands/leslie-controls"
DDG|MKXMUFJJYLY5,DDG,MKXMUFJJYLY5,WARD LEONARD CT LLC,335312,Motor and Generator Manufacturing,CMANNFGEFNP6,,CMANNFGEFNP6,"Supplies naval motors, motor controllers, control components, heaters, overload relays, and systems-integration support. DDG-51 technical records identify Ward Leonard motor-controller equipment installed on the class; the specific construction-line item is not public.","https://www.businesswire.com/news/home/20210105005632/en/Fairbanks-Morse-Acquires-Ward-Leonard
https://man.fas.org/dod-101/sys/ship/weaps/docs/cg_03-91.html"
