naics6,desc,primary_vendors_in_dataset,primary_dollars_$M_in_dataset,primary_pct_dollars_in_dataset,category_id,category,rule_strength,candidate_category,mapping_note
238150,Glass and Glazing Contractors,0,0,0,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
238160,Roofing Contractors,0,0,0,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
238170,Siding Contractors,0,0,0,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
238190,"OTHER FOUNDATION, STRUCTURE, AND BUILDING EXTERIOR CONTRACTORS",0,0,0,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
238210,Electrical Contractors and Other Wiring Installation Contractors,4,37.68,0.29,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
238220,"Plumbing, Heating, and Air-Conditioning Contractors",1,0.28,0.0,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
238290,Other Building Equipment Contractors,1,9.69,0.07,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
238310,Drywall and Insulation Contractors,0,0,0,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
238320,Painting and Wall Covering Contractors,2,11.5,0.09,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
238330,Flooring Contractors,0,0,0,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
238340,Tile and Terrazzo Contractors,0,0,0,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
238350,Finish Carpentry Contractors,1,0.19,0.0,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
238390,Other Building Finishing Contractors,0,0,0,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
238910,Site Preparation Contractors,0,0,0,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
238990,All Other Specialty Trade Contractors,3,0.94,0.01,15,"Installation, construction, maintenance & repair",business_model,,Construction/installation/maintenance/repair business model.
313320,Fabric Coating Mills,0,0,0,08,"Polymers, elastomers, composites & formulated materials",direct,,Specific process/product NAICS.
314910,Textile Bag and Canvas Mills,2,0.41,0.0,18,"Interiors, safety gear & miscellaneous manufactured products",direct_family,,Finished interior/wood/paper/textile/furniture product family.
314999,All Other Miscellaneous Textile Product Mills,0,0,0,18,"Interiors, safety gear & miscellaneous manufactured products",direct_family,,Finished interior/wood/paper/textile/furniture product family.
315220,Men's and Boy's Cut and Sew Apparel Manufacturing,0,0,0,18,"Interiors, safety gear & miscellaneous manufactured products",direct_family,,Finished interior/wood/paper/textile/furniture product family.
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing",0,0,0,18,"Interiors, safety gear & miscellaneous manufactured products",direct_family,,Finished interior/wood/paper/textile/furniture product family.
315250,Cut and Sew Apparel Manufacturing (except Contractors),0,0,0,18,"Interiors, safety gear & miscellaneous manufactured products",direct_family,,Finished interior/wood/paper/textile/furniture product family.
315990,Apparel Accessories and Other Apparel Manufacturing,0,0,0,18,"Interiors, safety gear & miscellaneous manufactured products",direct_family,,Finished interior/wood/paper/textile/furniture product family.
316210,Footwear Manufacturing,0,0,0,18,"Interiors, safety gear & miscellaneous manufactured products",direct_family,,Finished interior/wood/paper/textile/furniture product family.
316990,Other Leather and Allied Product Manufacturing,0,0,0,18,"Interiors, safety gear & miscellaneous manufactured products",direct_family,,Finished interior/wood/paper/textile/furniture product family.
321211,Hardwood Veneer and Plywood Manufacturing,0,0,0,18,"Interiors, safety gear & miscellaneous manufactured products",direct_family,,Finished interior/wood/paper/textile/furniture product family.
321212,Softwood Veneer and Plywood Manufacturing,0,0,0,18,"Interiors, safety gear & miscellaneous manufactured products",direct_family,,Finished interior/wood/paper/textile/furniture product family.
321213,Engineered Wood Member (except Truss) Manufacturing,1,0.43,0.0,18,"Interiors, safety gear & miscellaneous manufactured products",direct_family,,Finished interior/wood/paper/textile/furniture product family.
321214,Truss Manufacturing,0,0,0,18,"Interiors, safety gear & miscellaneous manufactured products",direct_family,,Finished interior/wood/paper/textile/furniture product family.
321219,Reconstituted Wood Product Manufacturing,0,0,0,18,"Interiors, safety gear & miscellaneous manufactured products",direct_family,,Finished interior/wood/paper/textile/furniture product family.
321912,"Cut Stock, Resawing Lumber, and Planing",0,0,0,18,"Interiors, safety gear & miscellaneous manufactured products",direct_family,,Finished interior/wood/paper/textile/furniture product family.
321920,Wood Container and Pallet Manufacturing,0,0,0,18,"Interiors, safety gear & miscellaneous manufactured products",direct_family,,Finished interior/wood/paper/textile/furniture product family.
321992,Prefabricated Wood Building Manufacturing,0,0,0,18,"Interiors, safety gear & miscellaneous manufactured products",direct_family,,Finished interior/wood/paper/textile/furniture product family.
321999,All Other Miscellaneous Wood Product Manufacturing,0,0,0,18,"Interiors, safety gear & miscellaneous manufactured products",direct_family,,Finished interior/wood/paper/textile/furniture product family.
322211,Corrugated and Solid Fiber Box Manufacturing,1,2.59,0.02,18,"Interiors, safety gear & miscellaneous manufactured products",direct_family,,Finished interior/wood/paper/textile/furniture product family.
322230,Stationery Product Manufacturing,0,0,0,18,"Interiors, safety gear & miscellaneous manufactured products",direct_family,,Finished interior/wood/paper/textile/furniture product family.
322299,All Other Converted Paper Product Manufacturing,0,0,0,18,"Interiors, safety gear & miscellaneous manufactured products",direct_family,,Finished interior/wood/paper/textile/furniture product family.
323111,Commercial Printing (except Screen and Books),0,0,0,18,"Interiors, safety gear & miscellaneous manufactured products",direct_family,,Finished interior/wood/paper/textile/furniture product family.
323117,Books Printing,0,0,0,18,"Interiors, safety gear & miscellaneous manufactured products",direct_family,,Finished interior/wood/paper/textile/furniture product family.
325110,Petrochemical Manufacturing,0,0,0,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Chemical/material formulation family.
325120,Industrial Gas Manufacturing,1,0.23,0.0,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Chemical/material formulation family.
325180,Other Basic Inorganic Chemical Manufacturing,0,0,0,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Chemical/material formulation family.
325199,All Other Basic Organic Chemical Manufacturing,0,0,0,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Chemical/material formulation family.
325211,Plastics Material and Resin Manufacturing,1,1.64,0.01,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Chemical/material formulation family.
325212,Synthetic Rubber Manufacturing,1,218.32,1.67,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Chemical/material formulation family.
325320,Pesticide and Other Agricultural Chemical Manufacturing,0,0,0,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Chemical/material formulation family.
325412,Pharmaceutical Preparation Manufacturing,0,0,0,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Chemical/material formulation family.
325414,Biological Product (except Diagnostic) Manufacturing,0,0,0,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Chemical/material formulation family.
325510,Paint and Coating Manufacturing,2,0.43,0.0,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Chemical/material formulation family.
325520,Adhesive Manufacturing,3,4.97,0.04,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Chemical/material formulation family.
325611,Soap and Other Detergent Manufacturing,0,0,0,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Chemical/material formulation family.
325612,Polish and Other Sanitation Good Manufacturing,0,0,0,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Chemical/material formulation family.
325920,Explosives Manufacturing,0,0,0,12,"Ordnance, launchers & specialized mission hardware",direct,,Specific process/product NAICS.
325991,Custom Compounding of Purchased Resins,2,15.82,0.12,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Chemical/material formulation family.
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,1,8.84,0.07,08,"Polymers, elastomers, composites & formulated materials",broad_direct,,Broad chemical preparation code within a coherent materials process family.
326111,Plastics Bag and Pouch Manufacturing,0,0,0,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Plastics/rubber processing family.
326113,UNLAMINATED PLASTICS FILM AND SHEET (EXCEPT PACKAGING) MANUFACTURING,1,1.45,0.01,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Plastics/rubber processing family.
326121,Unlaminated Plastics Profile Shape Manufacturing,0,0,0,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Plastics/rubber processing family.
326122,Plastics Pipe and Pipe Fitting Manufacturing,0,0,0,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Plastics/rubber processing family.
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",2,65.59,0.5,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Plastics/rubber processing family.
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,1,0.15,0.0,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Plastics/rubber processing family.
326199,ALL OTHER PLASTICS PRODUCT MANUFACTURING,3,0.91,0.01,08,"Polymers, elastomers, composites & formulated materials",broad_direct,,Broad plastics-product code within a coherent materials process family.
326220,Rubber and Plastics Hoses and Belting Manufacturing,3,0.64,0.0,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Plastics/rubber processing family.
326291,Rubber Product Manufacturing for Mechanical Use,6,128.45,0.98,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Plastics/rubber processing family.
326299,All Other Rubber Product Manufacturing,2,0.48,0.0,08,"Polymers, elastomers, composites & formulated materials",broad_direct,,Broad rubber-product code within a coherent materials process family.
327211,Flat Glass Manufacturing,0,0,0,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Nonmetallic mineral/glass/abrasive processing family.
327215,Glass Product Manufacturing Made of Purchased Glass,0,0,0,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Nonmetallic mineral/glass/abrasive processing family.
327390,Other Concrete Product Manufacturing,0,0,0,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Nonmetallic mineral/glass/abrasive processing family.
327910,Abrasive Product Manufacturing,1,0.49,0.0,08,"Polymers, elastomers, composites & formulated materials",direct_family,,Nonmetallic mineral/glass/abrasive processing family.
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,0,0,0,08,"Polymers, elastomers, composites & formulated materials",broad_direct,,Broad nonmetallic-mineral product code within a coherent materials process family.
331110,Iron and Steel Mills and Ferroalloy Manufacturing,2,2.69,0.02,06,"Primary metals, forgings & castings",direct_family,,Primary-metal family.
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,0,0,0,06,"Primary metals, forgings & castings",direct_family,,Primary-metal family.
331221,Rolled Steel Shape Manufacturing,0,0,0,06,"Primary metals, forgings & castings",direct_family,,Primary-metal family.
331222,Steel Wire Drawing,0,0,0,06,"Primary metals, forgings & castings",direct_family,,Primary-metal family.
331313,Alumina Refining and Primary Aluminum Production,0,0,0,06,"Primary metals, forgings & castings",direct_family,,Primary-metal family.
331315,"Aluminum Sheet, Plate, and Foil Manufacturing",0,0,0,06,"Primary metals, forgings & castings",direct_family,,Primary-metal family.
331318,"Other Aluminum Rolling, Drawing, and Extruding",0,0,0,06,"Primary metals, forgings & castings",direct_family,,Primary-metal family.
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,0,0,0,06,"Primary metals, forgings & castings",direct_family,,Primary-metal family.
331420,"Copper Rolling, Drawing, Extruding, and Alloying",3,13.56,0.1,06,"Primary metals, forgings & castings",direct_family,,Primary-metal family.
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",3,3.67,0.03,06,"Primary metals, forgings & castings",direct_family,,Primary-metal family.
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",0,0,0,06,"Primary metals, forgings & castings",direct_family,,Primary-metal family.
331511,Iron Foundries,0,0,0,06,"Primary metals, forgings & castings",direct_family,,Primary-metal family.
331512,Steel Investment Foundries,0,0,0,06,"Primary metals, forgings & castings",direct_family,,Primary-metal family.
331513,Steel Foundries (except Investment),8,82.57,0.63,06,"Primary metals, forgings & castings",direct_family,,Primary-metal family.
331523,Nonferrous Metal Die-Casting Foundries,0,0,0,06,"Primary metals, forgings & castings",direct_family,,Primary-metal family.
331524,Aluminum Foundries (except Die-Casting),2,0.8,0.01,06,"Primary metals, forgings & castings",direct_family,,Primary-metal family.
331529,Other Nonferrous Metal Foundries (except Die-Casting),6,28.11,0.21,06,"Primary metals, forgings & castings",direct_family,,Primary-metal family.
332111,Iron and Steel Forging,7,467.1,3.56,06,"Primary metals, forgings & castings",direct,,Specific process/product NAICS.
332112,Nonferrous Forging,2,10.53,0.08,06,"Primary metals, forgings & castings",direct,,Specific process/product NAICS.
332114,Custom Roll Forming,1,0.52,0.0,07,"Precision machining, hardware & metal finishing",direct,,Specific process/product NAICS.
332117,Powder Metallurgy Part Manufacturing,0,0,0,07,"Precision machining, hardware & metal finishing",direct,,Specific process/product NAICS.
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",1,0.89,0.01,07,"Precision machining, hardware & metal finishing",direct,,Specific process/product NAICS.
332216,Saw Blade and Handtool Manufacturing,1,3.25,0.02,11,"Industrial machinery, tooling & material handling",direct,,Specific process/product NAICS.
332311,Prefabricated Metal Building and Component Manufacturing,1,0.4,0.0,05,"Structural fabrication, tanks & ship modules",direct,,Specific process/product NAICS.
332312,Fabricated Structural Metal Manufacturing,17,357.01,2.72,05,"Structural fabrication, tanks & ship modules",direct,,Specific process/product NAICS.
332313,Plate Work Manufacturing,6,334.62,2.55,05,"Structural fabrication, tanks & ship modules",direct,,Specific process/product NAICS.
332321,Metal Window and Door Manufacturing,2,10.25,0.08,05,"Structural fabrication, tanks & ship modules",direct,,Specific process/product NAICS.
332322,Sheet Metal Work Manufacturing,6,27.5,0.21,05,"Structural fabrication, tanks & ship modules",direct,,Specific process/product NAICS.
332323,Ornamental and Architectural Metal Work Manufacturing,2,23.49,0.18,05,"Structural fabrication, tanks & ship modules",direct,,Specific process/product NAICS.
332410,Power Boiler and Heat Exchanger Manufacturing,6,339.52,2.59,04,"Thermal management, HVAC & air handling",direct,,Specific process/product NAICS.
332420,Metal Tank (Heavy Gauge) Manufacturing,5,93.01,0.71,05,"Structural fabrication, tanks & ship modules",direct,,Specific process/product NAICS.
332431,Metal Can Manufacturing,0,0,0,05,"Structural fabrication, tanks & ship modules",direct,,Specific process/product NAICS.
332439,Other Metal Container Manufacturing,0,0,0,05,"Structural fabrication, tanks & ship modules",direct,,Specific process/product NAICS.
332510,Hardware Manufacturing,3,2.79,0.02,07,"Precision machining, hardware & metal finishing",direct,,Specific process/product NAICS.
332613,Spring Manufacturing,1,1.52,0.01,07,"Precision machining, hardware & metal finishing",direct,,Specific process/product NAICS.
332618,Other Fabricated Wire Product Manufacturing,2,0.52,0.0,07,"Precision machining, hardware & metal finishing",direct,,Specific process/product NAICS.
332710,Machine Shops,31,220.07,1.68,07,"Precision machining, hardware & metal finishing",direct,,Specific process/product NAICS.
332721,Precision Turned Product Manufacturing,4,13.5,0.1,07,"Precision machining, hardware & metal finishing",direct,,Specific process/product NAICS.
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",6,3.69,0.03,07,"Precision machining, hardware & metal finishing",direct,,Specific process/product NAICS.
332811,Metal Heat Treating,0,0,0,07,"Precision machining, hardware & metal finishing",direct,,Specific process/product NAICS.
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",1,0.52,0.0,07,"Precision machining, hardware & metal finishing",direct,,Specific process/product NAICS.
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",2,0.57,0.0,07,"Precision machining, hardware & metal finishing",direct,,Specific process/product NAICS.
332911,Industrial Valve Manufacturing,21,545.29,4.16,03,"Fluid systems, flow control & piping",direct,,Specific process/product NAICS.
332912,Fluid Power Valve and Hose Fitting Manufacturing,12,202.04,1.54,03,"Fluid systems, flow control & piping",direct,,Specific process/product NAICS.
332913,Plumbing Fixture Fitting and Trim Manufacturing,0,0,0,03,"Fluid systems, flow control & piping",direct,,Specific process/product NAICS.
332919,Other Metal Valve and Pipe Fitting Manufacturing,6,79.43,0.61,03,"Fluid systems, flow control & piping",direct,,Specific process/product NAICS.
332991,Ball and Roller Bearing Manufacturing,4,35.41,0.27,02,"Propulsion, engines & mechanical power transmission",direct,,Specific process/product NAICS.
332992,Small Arms Ammunition Manufacturing,0,0,0,12,"Ordnance, launchers & specialized mission hardware",direct,,Specific process/product NAICS.
332993,Ammunition (except Small Arms) Manufacturing,0,0,0,12,"Ordnance, launchers & specialized mission hardware",direct,,Specific process/product NAICS.
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",0,0,0,12,"Ordnance, launchers & specialized mission hardware",direct,,Specific process/product NAICS.
332996,Fabricated Pipe and Pipe Fitting Manufacturing,9,133.49,1.02,03,"Fluid systems, flow control & piping",direct,,Specific process/product NAICS.
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,16,79.31,0.6,99,Unresolved capability / insufficient evidence,review_trigger,05/07,Generic fabricated-metal code; inspect specific secondary NAICS.
333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,0,0,0,11,"Industrial machinery, tooling & material handling",direct,,Specific process/product NAICS.
333120,Construction Machinery Manufacturing,1,23.64,0.18,11,"Industrial machinery, tooling & material handling",direct,,Specific process/product NAICS.
333131,Mining Machinery and Equipment Manufacturing,0,0,0,11,"Industrial machinery, tooling & material handling",direct,,Specific process/product NAICS.
333132,Oil and Gas Field Machinery and Equipment Manufacturing,0,0,0,11,"Industrial machinery, tooling & material handling",direct,,Specific process/product NAICS.
333241,Food Product Machinery Manufacturing,0,0,0,11,"Industrial machinery, tooling & material handling",direct,,Specific process/product NAICS.
333242,Semiconductor Machinery Manufacturing,0,0,0,11,"Industrial machinery, tooling & material handling",direct,,Specific process/product NAICS.
333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing",0,0,0,11,"Industrial machinery, tooling & material handling",direct,,Specific process/product NAICS.
333248,All Other Industrial Machinery Manufacturing,2,2.5,0.02,11,"Industrial machinery, tooling & material handling",direct,,Specific process/product NAICS.
333249,Other Industrial Machinery Manufacturing,0,0,0,11,"Industrial machinery, tooling & material handling",direct,,Specific process/product NAICS.
333310,Commercial and Service Industry Machinery Manufacturing,4,61.05,0.47,11,"Industrial machinery, tooling & material handling",broad_direct,,"Broad machinery code, but still a machinery-making capability."
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,9,41.13,0.31,04,"Thermal management, HVAC & air handling",direct,,Specific process/product NAICS.
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,6,20.19,0.15,04,"Thermal management, HVAC & air handling",direct,,Specific process/product NAICS.
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,6,394.57,3.01,04,"Thermal management, HVAC & air handling",direct,,Specific process/product NAICS.
333511,Industrial Mold Manufacturing,0,0,0,11,"Industrial machinery, tooling & material handling",direct,,Specific process/product NAICS.
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",0,0,0,11,"Industrial machinery, tooling & material handling",direct,,Specific process/product NAICS.
333515,Cutting Tool and Machine Tool Accessory Manufacturing,0,0,0,11,"Industrial machinery, tooling & material handling",direct,,Specific process/product NAICS.
333517,MACHINE TOOL MANUFACTURING,6,19.3,0.15,11,"Industrial machinery, tooling & material handling",direct,,Specific process/product NAICS.
333519,Rolling Mill and Other Metalworking Machinery Manufacturing,0,0,0,11,"Industrial machinery, tooling & material handling",direct,,Specific process/product NAICS.
333611,Turbine and Turbine Generator Set Units Manufacturing,5,54.78,0.42,02,"Propulsion, engines & mechanical power transmission",direct,,Specific process/product NAICS.
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",3,173.06,1.32,02,"Propulsion, engines & mechanical power transmission",direct,,Specific process/product NAICS.
333613,Mechanical Power Transmission Equipment Manufacturing,4,40.66,0.31,02,"Propulsion, engines & mechanical power transmission",direct,,Specific process/product NAICS.
333618,Other Engine Equipment Manufacturing,1,0.59,0.0,02,"Propulsion, engines & mechanical power transmission",direct,,Specific process/product NAICS.
333912,Air and Gas Compressor Manufacturing,3,60.42,0.46,03,"Fluid systems, flow control & piping",direct,,Specific process/product NAICS.
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",10,520.81,3.97,03,"Fluid systems, flow control & piping",direct,,Specific process/product NAICS.
333921,Elevator and Moving Stairway Manufacturing,0,0,0,11,"Industrial machinery, tooling & material handling",direct,,Specific process/product NAICS.
333922,Conveyor and Conveying Equipment Manufacturing,0,0,0,11,"Industrial machinery, tooling & material handling",direct,,Specific process/product NAICS.
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",3,9.83,0.07,11,"Industrial machinery, tooling & material handling",direct,,Specific process/product NAICS.
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",3,1.16,0.01,11,"Industrial machinery, tooling & material handling",direct,,Specific process/product NAICS.
333991,Power-Driven Handtool Manufacturing,0,0,0,11,"Industrial machinery, tooling & material handling",direct,,Specific process/product NAICS.
333992,Welding and Soldering Equipment Manufacturing,3,14.33,0.11,11,"Industrial machinery, tooling & material handling",direct,,Specific process/product NAICS.
333993,Packaging Machinery Manufacturing,0,0,0,11,"Industrial machinery, tooling & material handling",direct,,Specific process/product NAICS.
333994,Industrial Process Furnace and Oven Manufacturing,1,0.48,0.0,04,"Thermal management, HVAC & air handling",direct,,Specific process/product NAICS.
333995,Fluid Power Cylinder and Actuator Manufacturing,5,76.18,0.58,03,"Fluid systems, flow control & piping",direct,,Specific process/product NAICS.
333996,Fluid Power Pump and Motor Manufacturing,1,0.46,0.0,03,"Fluid systems, flow control & piping",direct,,Specific process/product NAICS.
333998,All Other Miscellaneous General Purpose Machinery Manufacturing,6,56.49,0.43,99,Unresolved capability / insufficient evidence,review_trigger,11,Generic machinery code; inspect specific secondary NAICS.
333999,All Other Miscellaneous General Purpose Machinery Manufacturing,1,0.94,0.01,99,Unresolved capability / insufficient evidence,review_trigger,11,Generic machinery code; inspect specific secondary NAICS.
334111,Electronic Computer Manufacturing,16,29.21,0.22,09,"Electronic components, computers, interconnects & cable",direct,,Specific process/product NAICS.
334112,Computer Storage Device Manufacturing,0,0,0,09,"Electronic components, computers, interconnects & cable",direct,,Specific process/product NAICS.
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,4,4.14,0.03,09,"Electronic components, computers, interconnects & cable",direct,,Specific process/product NAICS.
334210,Telephone Apparatus Manufacturing,0,0,0,10,"Sensors, instrumentation, controls & communications",direct,,Specific process/product NAICS.
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,7,41.73,0.32,10,"Sensors, instrumentation, controls & communications",direct,,Specific process/product NAICS.
334290,Other Communications Equipment Manufacturing,4,34.87,0.27,10,"Sensors, instrumentation, controls & communications",direct,,Specific process/product NAICS.
334310,Audio and Video Equipment Manufacturing,1,0.55,0.0,10,"Sensors, instrumentation, controls & communications",direct,,Specific process/product NAICS.
334412,Bare Printed Circuit Board Manufacturing,1,0.7,0.01,09,"Electronic components, computers, interconnects & cable",direct,,Specific process/product NAICS.
334413,Semiconductor and Related Device Manufacturing,0,0,0,09,"Electronic components, computers, interconnects & cable",direct,,Specific process/product NAICS.
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",1,100.78,0.77,09,"Electronic components, computers, interconnects & cable",direct,,Specific process/product NAICS.
334417,Electronic Connector Manufacturing,9,118.69,0.91,09,"Electronic components, computers, interconnects & cable",direct,,Specific process/product NAICS.
